titulo,brand,pantalla_tamano_pulgadas,precio_min,precio_max,precio_mean
"Apple MacBook Air 13"" 2024 M3",Apple,13.6,1026.53,2287.17,1656.85
"Apple MacBook Air 15"" 2024 M3",Apple,15.3,1270.42,2672.25,1971.34
"Apple MacBook Pro 14"" M4 (2024)",Apple,14.2,1731.44,4932.25,3331.85
ASUS TUF Gaming A15 FA506 (2024),ASUS,15.6,647.0,1031.71,839.36
GigaByte Aero 16 OLED BKF,GigaByte,16.0,1031.31,2069.99,1550.65
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W",ASUS,14.0,968.76,1146.69,1057.72
ASUS ROG Zephyrus G16 GA605,ASUS,16.0,2299.0,4010.22,3154.61
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W",ASUS,14.0,1849.2,2520.81,2185.01
ASUS Zenbook 14 OLED UM3406,ASUS,14.0,792.12,1162.83,977.47
"Apple MacBook Air 13"" 2022 M2",Apple,13.6,931.68,1676.99,1304.34
Lenovo V15 G4,Lenovo,15.6,329.99,1268.99,799.49
ASUS Vivobook Go 15 E1504FA,ASUS,15.6,320.16,1022.4,671.28
Lenovo LOQ 15 G9 2024,Lenovo,15.6,729.0,1896.12,1312.56
GigaByte Aero 16 OLED BSF,GigaByte,16.0,1326.64,2689.47,2008.05
ASUS ROG Zephyrus G14 GA403,ASUS,14.0,1799.0,3794.53,2796.77
Samsung Galaxy Book 4,Samsung,15.6,599.0,1377.0,988.0
Lenovo LOQ 15,Lenovo,15.6,729.0,1854.93,1291.97
ASUS Vivobook 15 (12th Gen F1504),ASUS,15.6,413.99,949.0,681.5
"GigaByte Aero 16 OLED BSF
BSF-H3ES954SH",GigaByte,16.0,1326.64,1542.41,1434.53
Lenovo V15 G2,Lenovo,15.6,237.36,958.5,597.93
LG Gram 15 (2024),LG,15.6,899.0,2548.66,1723.83
"ASUS Zenbook 14 OLED UM3406
UM3406HA-QD067W",ASUS,14.0,792.12,1134.9,963.51
GigaByte Aorus 16X 2024,GigaByte,16.0,1368.99,2592.68,1980.84
"Apple MacBook Air 13"" 2024 M3
Silver MC8H4Y/A",Apple,13.6,1026.53,1315.18,1170.86
ASUS Zenbook 14 OLED UX3405,ASUS,14.0,968.76,2192.14,1580.45
"ASUS TUF Gaming A15 FA506 (2024)
FA506NCR-HN006",ASUS,15.6,669.0,698.0,683.5
"ASUS ROG Zephyrus G14 GA403
GA403UI-QS049",ASUS,14.0,1999.0,2606.28,2302.64
ASUS Vivobook S15 S5507,ASUS,15.6,716.61,1815.1,1265.86
ASUS Zenbook 14 Duo OLED UX8406,ASUS,14.0,1849.2,3983.06,2916.13
HP ZBook Studio G10,HP,16.0,1459.79,4744.77,3102.28
Samsung Galaxy Book 4 Pro 16,Samsung,16.0,1349.0,3612.83,2480.91
"Apple MacBook Pro 14"" M3 (2023)",Apple,14.2,1442.59,4906.98,3174.78
Medion Akoya E15301,Medion,15.6,258.9,584.18,421.54
GigaByte Aorus 15 (2023),GigaByte,15.6,975.2,1828.63,1401.91
MSI Sword 16 HX B14V,MSI,16.0,1249.95,2006.88,1628.41
"Lenovo V15 G2
82QY00PUSP",Lenovo,15.6,237.36,400.17,318.76
HP Victus 16 2024,HP,16.1,846.4,4560.7,2703.55
"Samsung Galaxy Book 4
NP750XGJ-KG2ES",Samsung,15.6,599.0,997.99,798.5
"Apple MacBook Pro 14"" M4 (2024)
Silver MW2W3Y/A",Apple,14.2,1731.44,2067.31,1899.38
"ASUS Vivobook Go 15 E1504FA
E1504FA-NJ1041",ASUS,15.6,396.52,539.17,467.84
"GigaByte Aero 16 OLED BKF
BKF-73ES994SO",GigaByte,16.0,1031.31,2069.99,1550.65
MSI Katana 15 B13,MSI,15.6,1094.82,2210.99,1652.9
Lenovo V15 G3,Lenovo,15.6,330.0,1561.27,945.63
Samsung Galaxy Book 4 Pro 14,Samsung,14.0,1114.99,2308.34,1711.66
"Apple MacBook Air 13"" 2024 M3
MXCV3Y/A",Apple,13.6,1223.48,1486.99,1355.24
ASUS ProArt P16 H7606,ASUS,16.0,1896.12,4737.12,3316.62
MSI Modern 15 B7M,MSI,15.6,499.95,909.4,704.67
Lenovo IdeaPad 1 15,Lenovo,15.6,234.6,786.64,510.62
Samsung Galaxy Book 4 360,Samsung,15.6,845.99,2167.39,1506.69
"Apple MacBook Air 15"" 2024 M3
Space Gray MC9D4Y/A",Apple,15.3,1270.42,1630.94,1450.68
ASUS TUF Gaming A14 FA401,ASUS,14.0,1299.0,2736.62,2017.81
Lenovo IdeaPad Slim 3 15 2024,Lenovo,15.6,499.0,1199.0,849.0
Samsung Galaxy Book 4 Ultra,Samsung,16.0,1778.96,4118.39,2948.68
"Apple MacBook Pro 16"" M4 (2024)",Apple,16.2,2603.6,6068.06,4335.83
"Samsung Galaxy Book 4 Ultra
NP960XGL-XG1ES",Samsung,16.0,1778.96,2696.99,2237.97
Lenovo Legion 5 Pro 16 2024,Lenovo,16.0,1399.0,2642.76,2020.88
"LG Gram 15 (2024)
15ZD90S-G.AX75B",LG,15.6,906.2,1158.0,1032.1
"Apple MacBook Air 13"" 2024 M3
Starlight MXCU3Y/A",Apple,13.6,1223.48,1626.39,1424.93
HP Victus 16 2023,HP,16.1,744.02,2303.91,1523.96
Medion Erazer Deputy P60,Medion,15.6,799.95,1902.41,1351.18
ASUS TUF Gaming A15 FA507 (2023),ASUS,15.6,899.0,2066.15,1482.58
Razer Blade 14 (2024),Razer,14.0,2669.95,3907.01,3288.48
"GigaByte Aorus 16X 2024
ASG-53ESC54SH",GigaByte,16.0,1388.28,2139.0,1763.64
Acer Nitro V 15 ANV15-41,Acer,15.6,749.0,1352.11,1050.55
"Samsung Galaxy Book4 Edge 15,6"" NP750XQA-KB1ES",Samsung,15.6,699.0,1098.96,898.98
MSI Cyborg 15 A13V,MSI,15.6,891.48,1479.25,1185.37
Microsoft Surface Laptop 7 13.8,Microsoft,13.8,1008.8,2156.99,1582.89
Lenovo Legion Slim 5 16 2023,Lenovo,16.0,1429.29,2641.51,2035.4
"Apple MacBook Air 13"" 2024 M3
Space Gray MXCR3Y/A",Apple,13.6,1223.48,1976.48,1599.98
HP 15 2024,HP,15.6,429.01,1288.91,858.96
"Medion Akoya E15301
MD62428",Medion,15.6,258.9,284.11,271.5
ASUS ROG Zephyrus G16 GU605 (2024),ASUS,16.0,2099.0,7376.36,4737.68
Razer Blade 16 (2024),Razer,16.0,2041.48,4399.0,3220.24
"GigaByte Aorus 15 (2023)
BKF-73ES754SH",GigaByte,15.6,975.2,1247.69,1111.45
"MSI Sword 16 HX B14V
B14VGKG-872XES",MSI,16.0,1249.95,1398.3,1324.12
Lenovo ThinkPad L14 G5,Lenovo,14.0,784.76,2447.05,1615.91
"Apple MacBook Air 15"" 2024 M3
Space Gray MXD13Y/A",Apple,15.3,1448.46,1949.95,1699.2
"HP ZBook Studio G10
863J7ET",HP,16.0,1846.52,4014.99,2930.76
"ASUS Vivobook S15 S5507
S5507QA-MA124W",ASUS,15.6,716.61,1011.99,864.3
"Lenovo ThinkPad X1 G9 2024
21KE003JSP",Lenovo,14.0,2607.28,3407.6,3007.44
"Apple MacBook Air 13"" 2022 M2
Silver MC7X4Y/A",Apple,13.6,931.68,1166.01,1048.85
HP Victus 15 2023,HP,15.6,614.09,2089.36,1351.73
"ASUS TUF Gaming A15 FA506 (2024)
FA506NFR-HN008",ASUS,15.6,647.0,801.95,724.48
Lenovo IdeaPad 1 15 (2023),Lenovo,15.6,366.1,915.99,641.05
"Apple MacBook Air 15"" 2024 M3
MXD43Y/A",Apple,15.3,1559.54,1830.71,1695.12
HP 15s (2023),HP,15.6,312.04,709.83,510.94
ASUS Vivobook 15 M1502,ASUS,15.6,475.64,719.33,597.49
Lenovo ThinkPad E14 G6,Lenovo,14.0,890.56,1576.4,1233.48
"Apple MacBook Pro 14"" M4 (2024)
Space Black MX2J3Y/A",Apple,14.2,2541.04,2955.45,2748.24
HP 250 G9,HP,15.6,247.98,1320.48,784.23
ASUS Zenbook 15 OLED UM3504,ASUS,15.6,899.0,1305.99,1102.49
"Lenovo LOQ 15
15IRH8 82XV00BSSP",Lenovo,15.6,773.45,886.37,829.91
"Apple MacBook Air 13"" 2020",Apple,13.3,729.0,1810.34,1269.67
HP 15 (2020),HP,15.6,150.0,555.21,352.61
ASUS Zenbook S16 UM5606,ASUS,16.0,1649.0,2635.91,2142.45
Lenovo IdeaPad Slim 3 15 (2023),Lenovo,15.6,399.0,940.04,669.52
"Apple MacBook Air 15"" 2024 M3
Midnight MRYU3Y/A",Apple,15.3,1275.12,1555.49,1415.3
Lenovo ThinkPad X1 G9 2024,Lenovo,14.0,2267.8,3577.19,2922.49
"Apple MacBook Pro 14"" M4 (2024)
Space Black MX2K3Y/A",Apple,14.2,3316.6,4167.55,3742.07
Lenovo IdeaPad Gaming 3 15,Lenovo,15.6,639.99,1700.0,1169.99
Lenovo IdeaPad 3 15,Lenovo,15.6,329.0,1564.89,946.95
"Samsung Galaxy Book 4 Pro 16
NP964XGK-KG3ES",Samsung,16.0,1521.26,2097.99,1809.62
"ASUS Vivobook Go 15 E1504FA
E1504FA-NJ643W",ASUS,15.6,466.44,676.58,571.51
"Medion Erazer Deputy P60
MD 62624",Medion,15.6,998.65,1902.41,1450.53
HP Victus 15 2024,HP,15.6,667.0,1443.73,1055.37
"Apple MacBook Air 15"" 2024 M3
Starlight MRYR3Y/A",Apple,15.3,1275.12,1546.81,1410.96
Lenovo ThinkBook 16 G7 (2024),Lenovo,16.0,720.36,1394.36,1057.36
LG UltraPC 16,LG,16.0,579.99,1609.99,1094.99
GigaByte G6 (2023),GigaByte,16.0,877.68,1328.12,1102.9
Denver NBD-14115SSDES,Denver,14.0,189.12,279.8,234.46
"Acer Nitro V 15 ANV15-41
ANV15-41-R81L",Acer,15.6,749.0,915.99,832.5
Primux Ioxbook K15 I5a,Primux,15.6,277.84,438.22,358.03
MSI Thin A15 B7,MSI,15.6,739.0,1569.2,1154.1
"Razer Blade 14 (2024)
RZ09-050811M3-R311",Razer,14.0,2679.95,3907.01,3293.48
Dell Inspiron 15 3530,Dell,15.6,521.64,1046.81,784.22
"Samsung Galaxy Book 4 360
NP750QGK-KG1ES",Samsung,15.6,845.99,1389.0,1117.49
ASUS Vivobook S15 OLED S5506,ASUS,15.6,908.04,1720.83,1314.43
Medion Akoya E16433,Medion,16.0,455.44,754.99,605.22
HP 15 (2023),HP,15.6,339.0,1118.64,728.82
"Apple MacBook Air 13"" 2024 M3
Space Gray MC8G4Y/A",Apple,13.6,1079.0,1262.49,1170.74
"Lenovo ThinkPad E14 G6
21M70017SP",Lenovo,14.0,1145.51,1576.4,1360.95
LG Gram 16 2024,LG,16.0,1089.0,2079.31,1584.15
GigaByte G5 2023,GigaByte,15.6,797.64,1229.43,1013.54
Acer Aspire 3 A315-44,Acer,15.6,478.4,774.46,626.43
MSI Modern 15,MSI,15.6,479.0,2082.75,1280.88
Samsung Galaxy Book 4 Pro 360,Samsung,16.0,1237.99,2766.34,2002.16
ASUS ProArt PX13 HN7306,ASUS,13.3,1799.0,3914.27,2856.64
"Medion Akoya E16433
MD62604",Medion,16.0,594.94,754.99,674.97
"HP 15 (2020)
W9243MC",HP,15.6,150.0,150.0,150.0
"Apple MacBook Pro 14"" M3 (2023)
Space Gray (MTL83Y/A)",Apple,14.2,1442.59,1843.4,1642.99
"Lenovo LOQ 15 G9 2024
83JC001SSP",Lenovo,15.6,949.0,1135.23,1042.12
GigaByte AERO 14 OLED 9MF-E2SESB4SH,GigaByte,14.0,885.96,1367.93,1126.95
Acer Aspire 5 A515-58,Acer,15.6,578.68,928.51,753.6
"Samsung Galaxy Book4 Edge 16""",Samsung,16.0,805.92,2016.23,1411.08
ASUS Vivobook S 14 OLED S5406,ASUS,14.0,819.0,1478.79,1148.89
"HP Victus 16 2023
16-e1008ns",HP,16.1,744.02,1199.75,971.88
"Apple MacBook Air 13"" 2022 M2
Space Gray MC7U4Y/A",Apple,13.6,950.46,1164.99,1057.72
"Lenovo LOQ 15 G9 2024
83JC007MSP",Lenovo,15.6,1089.0,1424.86,1256.93
"GigaByte Aorus 16X 2024
9SG-43ESC64SH",GigaByte,16.0,1368.99,1864.76,1616.88
Samsung Galaxy Book 3 360 13,Samsung,13.3,1060.76,1826.69,1443.72
"ASUS TUF Gaming A15 FA506 (2024)
FA506NCR-HN077",ASUS,15.6,699.97,1031.71,865.84
HP 255 G10,HP,15.6,305.44,1363.49,834.47
"Apple MacBook Pro 14"" M4 (2024)
Silver MX2E3Y/A",Apple,14.2,2110.48,2455.45,2282.97
"Lenovo V15 G4
82YU00TSSP",Lenovo,15.6,379.96,627.66,503.81
ASUS Vivobook Pro 16X 3D OLED K6604,ASUS,16.0,1998.99,3360.93,2679.96
HP 17 (2021),HP,17.3,150.0,1117.57,633.78
"Apple MacBook Air 13"" 2024 M3
Space Gray MRXN3Y/A",Apple,13.6,1069.0,1289.0,1179.0
Lenovo Legion Slim 5 14 2023,Lenovo,14.5,1528.12,2674.72,2101.42
ASUS Vivobook Go 15 E510,ASUS,15.6,244.8,504.24,374.52
"Apple MacBook Air 13"" 2024 M3
Silver MRXQ3Y/A",Apple,13.6,1147.99,1289.0,1218.49
"ASUS Zenbook 15 OLED UM3504
UM3504DA-MA286W",ASUS,15.6,899.0,1147.98,1023.49
"Apple MacBook Air 15"" 2023 M2",Apple,15.3,1199.0,1829.0,1514.0
ASUS TUF Gaming A15 FA507,ASUS,15.6,801.32,2301.24,1551.28
"Apple MacBook Air 15"" 2024 M3
Starlight MRYT3Y/A",Apple,15.3,1381.0,1664.99,1522.99
ASUS Vivobook 16X K3605,ASUS,16.0,579.0,1610.2,1094.6
ASUS Vivobook 17 F1704,ASUS,17.3,640.0,1614.18,1127.09
"ASUS TUF Gaming A15 FA507 (2023)
FA507NU-LP045",ASUS,15.6,899.0,1331.67,1115.34
ASUS Vivobook S14 Flip TP3402,ASUS,14.0,859.0,1400.67,1129.84
ASUS ExpertBook B3 (B3604),ASUS,16.0,741.99,1786.79,1264.39
"HP 17 (2021)
B09MZ28C88",HP,17.3,150.0,237.41,193.7
"Samsung Galaxy Book 4 Pro 14
NP940XGK-KG1ES",Samsung,14.0,1114.99,1498.0,1306.49
Microsoft Surface Laptop 5 15,Microsoft,15.0,599.0,3388.86,1993.93
ASUS Asus Vivobook 14 Flip OLED TP3407,ASUS,14.0,1292.6,1502.99,1397.8
"Lenovo Legion 5 Pro 16 2024
82WM00FJSP",Lenovo,16.0,1649.0,1649.0,1649.0
"GigaByte G5 2023
KF5-53ES354SD",GigaByte,15.6,824.32,1055.52,939.92
MSI Katana A15 AI B8,MSI,15.6,1569.0,2009.11,1789.05
"Apple MacBook Air 13"" 2020
Silver (MGN93Y/A)",Apple,13.3,799.0,1331.74,1065.37
Realme Book Prime 14,Realme,14.0,473.89,999.99,736.94
Acer Predator Triton Neo 16 PTN16-51,Acer,16.0,1399.0,2316.0,1857.5
"LG UltraPC 16
16UD70R-G.AX56B",LG,16.0,579.99,1032.0,806.0
HP 255 G9,HP,15.6,333.15,1441.9,887.53
"ASUS ProArt PX13 HN7306
HN7306WV-LX011W",ASUS,13.3,2099.0,2504.49,2301.74
"Lenovo Yoga 7 2-in-1 Gen 9 14""",Lenovo,14.0,999.0,1799.9,1399.45
"Apple MacBook Air 13"" 2024 M3
Starlight MC8J4Y/A",Apple,13.6,1079.0,1342.72,1210.86
Acer Extensa 15 EX215-55,Acer,15.6,409.0,1198.4,803.7
HP Omen 16 2023,HP,16.1,1199.0,2798.28,1998.64
ASUS TUF Gaming F17 FX707,ASUS,17.3,1299.0,2206.01,1752.51
"Lenovo Legion Slim 5 14 2023
82Y50064SP",Lenovo,14.5,1528.12,1834.99,1681.55
"ASUS ROG Zephyrus G16 GU605 (2024)
GU605MV-QR047",ASUS,16.0,2099.0,2099.0,2099.0
Lenovo Legion Slim 5 16 2024,Lenovo,16.0,1599.0,1599.0,1599.0
"Apple MacBook Air 13"" 2020
Silver (MGN93Y/A)",Apple,13.3,799.0,1331.74,1065.37
Realme Book Prime 14,Realme,14.0,473.89,999.99,736.94
Acer Predator Triton Neo 16 PTN16-51,Acer,16.0,1399.0,2316.0,1857.5
"LG UltraPC 16
16UD70R-G.AX56B",LG,16.0,579.99,1032.0,806.0
HP 15s (2022),HP,15.6,319.0,943.67,631.34
"ASUS Zenbook 14 OLED UM3406
UM3406KA-QD074W",ASUS,14.0,967.84,1108.99,1038.41
"Lenovo IdeaPad 1 15
Lenovo 82V700K6SP",Lenovo,15.6,234.6,257.91,246.25
"Apple MacBook Air 13"" 2024 M3
Starlight MC8J4Y/A",Apple,13.6,1079.0,1342.72,1210.86
Acer Extensa 15 EX215-55,Acer,15.6,409.0,1198.4,803.7
"ASUS Vivobook Go 15 E1504FA
E1504GA-NJ466",ASUS,15.6,320.16,431.08,375.62
Lenovo IdeaPad Flex 5 14,Lenovo,14.0,649.0,973.2,811.1
"Apple MacBook Air 13"" 2024 M3
Midnight MC8K4Y/A",Apple,13.6,1026.53,1315.18,1170.86
"ASUS Zenbook 14 Duo OLED UX8406
UX8406CA-PZ152W",ASUS,14.0,2200.64,2558.41,2379.52
Lenovo IdeaPad Flex 5 14 (2023),Lenovo,14.0,721.0,986.98,853.99
"Apple MacBook Air 13"" 2024 M3
Silver MXCT3Y/A",Apple,13.6,1223.48,1631.43,1427.45
ASUS Zenbook S 13 OLED UX5304,ASUS,13.3,1083.71,4560.7,2822.2
"Lenovo V15 G4
83A100KQSP",Lenovo,15.6,329.99,438.48,384.24
ASUS Vivobook S14 OLED M5406,ASUS,14.0,704.72,1689.26,1196.99
"ASUS TUF Gaming A14 FA401
FA401UU-RG025",ASUS,14.0,1299.0,1539.99,1419.49
MSI Stealth A16 AI+ A3,MSI,16.0,2089.95,3438.75,2764.35
"Apple MacBook Air 13"" 2024 M3
MRXV3Y/A",Apple,13.6,1289.0,1289.0,1289.0
"Lenovo LOQ 15
82XT0056SP",Lenovo,15.6,829.0,829.0,829.0
PcCom Revolt 4090,PcCom,16.0,3129.99,13158.52,8144.26
"Samsung Galaxy Book 3 360 13
NP734QFG-KA1ES",Samsung,13.3,1060.76,1434.32,1247.54
Medion Erazer Crawler E50,Medion,15.6,679.09,1264.72,971.9
GigaByte Aero 14 OLED BMF,GigaByte,14.0,1074.99,1587.03,1331.01
HP Pavilion 15 (2020),HP,15.6,571.79,1079.99,825.89
Acer Nitro V 15 ANV15-51,Acer,15.6,749.0,2085.1,1417.05
"LG Gram 14 2024
14ZD90S-G.AX75B",LG,14.0,899.0,1265.54,1082.27
Microsoft Surface Laptop 5 13.5,Microsoft,13.5,610.02,6720.27,3665.15
Primux Ioxbook K15 I3b,Primux,14.0,218.04,261.7,239.87
"ASUS TUF Gaming A15 FA507
TUF507NUR-LP110",ASUS,15.6,801.32,1053.16,927.24
MSI Thin 15 B12U,MSI,15.6,698.85,1107.91,903.38
"Apple MacBook Pro 14"" M4 (2024)
Space Black MX2H3Y/A",Apple,14.2,2110.48,2449.0,2279.74
"Lenovo IdeaPad Slim 3 15 2024
83EM00D6SP",Lenovo,15.6,699.9,891.88,795.89
"Samsung Galaxy Book 4 Pro 360
NP960QGK-KG1ES",Samsung,16.0,1237.99,1682.79,1460.39
Medion E15443,Medion,15.6,582.41,1002.06,792.23
"HP Pavilion 15 (2020)
15-eh1001ns",HP,15.6,571.79,715.28,643.53
"Microsoft Surface Laptop 7 13.8
16GB/256GB plateado ZGJ-00012",Microsoft,13.8,1008.8,1208.75,1108.78
"ASUS ROG Zephyrus G16 GA605
GA605WV-QR016W",ASUS,16.0,2299.0,3876.58,3087.79
"MSI Katana 15 B13
B13VFK-487XES",MSI,15.6,1159.2,1570.5,1364.85
"Apple MacBook Air 13"" 2024 M3
Starlight MRXT3Y/A",Apple,13.6,1179.0,1289.0,1234.0
"Lenovo IdeaPad Slim 5 14 2024
83HL002MSP",Lenovo,14.0,799.0,1154.67,976.84
Medion Erazer Major X20 2024,Medion,16.0,1731.87,2620.86,2176.36
HP 17 2024,HP,17.3,798.0,1043.43,920.72
ASUS TUF Gaming Advantage A16 FA617,ASUS,16.0,821.14,1854.0,1337.57
"MSI Katana 15 B13
B13VGK-1405XES",MSI,15.6,1399.0,1713.28,1556.14
"Apple MacBook Pro 16"" M3 (2023)",Apple,16.2,2199.0,5173.17,3686.09
Lenovo Yoga Pro 7 14 Gen 8,Lenovo,14.5,1028.99,2177.13,1603.06
"HP Victus 15 2023
15-fb0006n",HP,15.6,614.09,915.07,764.58
"ASUS TUF Gaming F15 (TUF507)
TUF507VV-LP193",ASUS,15.6,1009.27,1495.0,1252.13
"MSI Modern 15 B7M
B7M-040ES",MSI,15.6,598.0,909.4,753.7
"Apple MacBook Pro 16"" M4 (2024)
Silver MX2T3Y/A",Apple,16.2,2603.6,2955.45,2779.52
Lenovo IdeaPad 3 Chromebook 14,Lenovo,14.0,138.39,269.0,203.69
HP 250 G10,HP,15.6,428.26,1432.0,930.13
