procesador_frecuencia_turbo_max_ghz,procesador_numero_nucleos,disco_duro_capacidad_de_memoria_ssd_gb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,procesador,procesador_tipo,grafica_tarjeta,ram_tipo,sistema_operativo_sistema_operativo,alimentacion_wattage_binned
2.9,2.0,1000.0,16.0,3200.0,Intel Core i5-6260U,Core i5,Intel HD Graphics 540,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.1,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,4.0,512.0,16.0,3200.0,Intel Celeron N5095,Celeron,Intel UHD Graphics,DDR5,Microsoft Windows 11 Home,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,8.0,512.0,16.0,3200.0,AMD Ryzen 7 5700G,Ryzen 7,AMD Radeon Graphics,DDR4,ninguno,Low_Power (0-200W)
5.4,16.0,2000.0,32.0,3200.0,Intel Core i7-13700KF,Core i7,NVIDIA GeForce RTX 4070 Ti,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.3,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 7700,Ryzen 7,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.4,24.0,1000.0,32.0,4800.0,Intel Core i9-13900K,Core i9,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Apple M,Intel UHD Graphics 770,DDR4,macOS Sequoia,High_Power (501-850W)
4.5,4.0,256.0,8.0,3200.0,Intel Core i3-13100,Core i3,Intel UHD Graphics 730,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,256.0,16.0,3200.0,Unknown,Core i5,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.4,6.0,1000.0,16.0,3200.0,Intel Core i5-12400F,Core i5,NVIDIA GeForce RTX 4060,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,14.0,512.0,16.0,4800.0,Intel Core i5-14500,Core i5,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
5.2,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 9800X3D,Ryzen 7,NVIDIA GeForce RTX 4070 Ti Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,16.0,1000.0,16.0,3200.0,Unknown,Unknown,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,2000.0,32.0,3200.0,AMD Ryzen 7 7800X3D,Ryzen 7,AMD Radeon RX 7900 XTX,DDR4,ninguno,High_Power (501-850W)
5.4,20.0,1000.0,32.0,3200.0,Intel Core i7-14700,Core i7,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
4.7,8.0,128.0,8.0,3200.0,AMD Ryzen 5 3550H,Ryzen 5,AMD Radeon RX Vega 8,DDR4,ninguno,High_Power (501-850W)
4.3,4.0,256.0,8.0,3200.0,Intel Core i3-10100,Core i3,Intel UHD Graphics 770,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.6,12.0,2000.0,64.0,3200.0,AMD Ryzen 9 7900X3D,Ryzen 9,NVIDIA GeForce RTX 4080 Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,256.0,8.0,3200.0,Intel Core i3-10100,Core i3,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.2,16.0,512.0,16.0,3200.0,Intel Core i7-13700,Core i7,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
4.4,6.0,512.0,16.0,3200.0,Intel Core i5-12400F,Core i5,NVIDIA GeForce GTX 1650,DDR4,FreeDOS,Medium_Power (201-500W)
5.6,12.0,2000.0,64.0,3200.0,AMD Ryzen 9 9900X,Ryzen 9,NVIDIA GeForce RTX 4080 Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.8,24.0,1000.0,32.0,3200.0,Intel Core i9-13900KF,Core i9,NVIDIA GeForce RTX 3070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.6,6.0,512.0,16.0,3200.0,Intel Core i5-12500,Core i5,Intel UHD Graphics 770,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.4,20.0,512.0,16.0,4400.0,Intel Core i7-14700,Core i7,NVIDIA T1000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
4.1,6.0,1000.0,16.0,3200.0,AMD Ryzen 5 4500,Ryzen 5,NVIDIA GeForce RTX 4060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.3,6.0,500.0,16.0,3200.0,Intel Core i5-10400,Core i5,Intel HD Graphics 630,DDR4,Microsoft Windows 11 Home,Medium_Power (201-500W)
5.3,6.0,2000.0,32.0,3200.0,AMD Ryzen 5 7600X,Ryzen 5,AMD Radeon RX 7900 GRE,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,256.0,8.0,3200.0,Intel Core i5-11400T,Core i5,Intel UHD Graphics 730,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.6,20.0,2000.0,32.0,3200.0,Intel Core i7-14700KF,Core i7,NVIDIA GeForce RTX 4070 Ti Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,512.0,16.0,5600.0,Intel Core i7-13700,Core i7,Intel UHD Graphics 770,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
5.0,10.0,1000.0,16.0,3200.0,Intel Core 5 120U,Intel Core 5,Intel Graphics,DDR4,FreeDOS,High_Power (501-850W)
4.9,8.0,1000.0,16.0,3200.0,Intel Core i7-11700F,Core i7,NVIDIA GeForce RTX 3060 Ti,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
3.6,8.0,240.0,8.0,3200.0,Unknown,Core i5,Intel UHD Graphics 770,DDR3,Microsoft Windows 11 Professional,High_Power (501-850W)
4.2,4.0,256.0,8.0,3200.0,Unknown,Ryzen 3,AMD Radeon Graphics,DDR4,Linux,Low_Power (0-200W)
5.0,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 8700F,Ryzen 7,NVIDIA GeForce RTX 4070,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.0,10.0,1000.0,32.0,3200.0,Intel Core i7-1355U,Core i7,Intel Iris Xe Graphics,DDR4,Microsoft Windows 11 Professional,Low_Power (0-200W)
4.8,8.0,512.0,16.0,2666.0,Intel Core i7-10700,Core i7,Intel UHD Graphics 630,DDR4,Microsoft Windows 10 Professional,High_Power (501-850W)
5.4,16.0,1000.0,32.0,3200.0,Intel Core i7-13700K,Core i7,NVIDIA RTX A2000,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
5.4,16.0,1000.0,32.0,3200.0,Intel Core i7-13700KF,Core i7,NVIDIA GeForce RTX 4070 Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,8.0,1000.0,32.0,3200.0,Intel Core i7-12650H,Core i7,Intel UHD Graphics,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.7,6.0,1000.0,16.0,3200.0,Intel Core 3 100U,Intel Core 3,Intel Arc Graphics,DDR5,ninguno,Low_Power (0-200W)
4.6,10.0,1000.0,32.0,3200.0,Intel Core i5-13400F,Core i5,NVIDIA GeForce RTX 4070,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
4.1,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 5700X3D,Ryzen 7,NVIDIA GeForce RTX 4070 Super,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.2,16.0,512.0,16.0,4800.0,Intel Core i7-13700,Core i7,NVIDIA T1000,DDR5,Microsoft Windows 11 Professional,Medium_Power (201-500W)
4.1,8.0,1000.0,32.0,3200.0,AMD Ryzen 7 5700X3D,Ryzen 7,AMD Radeon RX 7900 GRE,DDR4,Microsoft Windows 11 Professional,High_Power (501-850W)
5.4,10.0,1000.0,16.0,5600.0,Intel Core 7 150U,Intel Core 7,Intel Graphics,DDR5,Microsoft Windows 11 Professional,High_Power (501-850W)
