procesador_frecuencia_turbo_max_ghz,procesador_numero_nucleos,disco_duro_capacidad_de_memoria_ssd_gb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,alimentacion_vatios_hora,procesador,procesador_tipo,grafica_tarjeta,ram_tipo,sistema_operativo_sistema_operativo,camara_resolucion_pixeles,pantalla_tecnologia,pantalla_resolucion_pixeles
5.2,8.0,1000.0,32.0,4800.0,90.0,AMD Ryzen 9 8945HS,AMD Ryzen 9,NVIDIA GeForce RTX 4060,DDR4,Windows 11 Home,1280x720,Full HD,2560x1440
5.0,12.0,2000.0,32.0,4800.0,80.0,Intel Core i7-1360P,Intel Core i7,NVIDIA GeForce RTX 3050,DDR4,Windows 11 Home,1920x1080,WQXGA,2560x1600
5.0,10.0,1000.0,32.0,4800.0,41.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
5.1,16.0,1000.0,32.0,5600.0,72.0,Intel Core Ultra 9 185H,Intel Core Ultra 9,NVIDIA GeForce RTX 4070,DDR5,Free DOS,1280x720,2.8K,2880x1800
5.0,12.0,512.0,16.0,4800.0,80.0,Intel Core i7-1360P,Intel Core i7,Intel Iris Xe Graphics,LPDDR5,Windows 11 Home,1920x1080,WQXGA,2560x1600
4.2,4.0,256.0,8.0,4800.0,41.0,Intel Core i5-1135G7,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.2,8.0,1000.0,32.0,6400.0,73.0,AMD Ryzen 9 8945HS,AMD Ryzen 9,NVIDIA GeForce RTX 4060,LPDDR5X,sin sistema operativo,1920x1080,3K,2880x1800
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,90.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
5.0,10.0,512.0,16.0,3200.0,45.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,52.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,12.0,512.0,16.0,7467.0,80.0,Intel Core i7-1360P,Intel Core i7,Intel Arc Graphics,LPDDR5,Windows 11 Home,1920x1080,WQXGA,2560x1600
4.7,10.0,512.0,8.0,4800.0,52.6,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2560x1664
4.6,10.0,512.0,16.0,4800.0,50.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.2,4.0,512.0,16.0,4800.0,67.0,Intel Core i5-1135G7,Intel Core i5,Intel Iris Xe Graphics,LPDDR4X,Free DOS,1280x720,Full HD,1920x1080
5.0,16.0,2000.0,32.0,5600.0,99.0,Intel Core i7-13700HX,Intel Core i7,NVIDIA RTX 2000 Ada,DDR5,Windows 11 Professional,1280x720,Full HD,1600x900
4.2,4.0,512.0,8.0,4800.0,48.0,Intel Core i5-1135G7,Intel Core i5,Intel Iris Xe Graphics,LPDDR4X,Chrome OS,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,83.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,65.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.8,16.0,2000.0,32.0,7467.0,77.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,Intel Arc Graphics,LPDDR5,Windows 11 Home,1920x1080,WQXGA,2560x1600
4.7,10.0,512.0,16.0,4800.0,56.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
3.8,8.0,512.0,8.0,3200.0,41.0,Intel Core i3-N305,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.6,10.0,512.0,16.0,4800.0,42.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
2.6,1.0,256.0,4.0,2133.0,36.0,Intel Core i3-1115G4,Intel Core i3,Intel UHD Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
5.6,24.0,1000.0,32.0,5600.0,83.0,Intel Core i9-14900HX,Intel Core i9,NVIDIA GeForce RTX 4060,DDR5,sin sistema operativo,1280x720,Full HD,1920x1080
4.7,4.0,512.0,8.0,4800.0,42.0,Intel Core i7-1165G7,Intel Core i7,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.6,10.0,512.0,16.0,2666.0,54.0,Intel Core i5-1334U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.3,12.0,256.0,8.0,5600.0,45.0,Intel Core Ultra 5 125U,Intel Core Ultra 5,Intel Graphics,DDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.0,6.0,512.0,16.0,3200.0,52.5,AMD Ryzen 5 5500U,AMD Ryzen 5,AMD Radeon Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.2,4.0,512.0,8.0,3200.0,45.0,Intel Core i5-1135G7,Intel Core i5,Intel UHD Graphics,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
4.3,8.0,512.0,16.0,3200.0,41.0,AMD Ryzen 7 5700U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
3.3,4.0,128.0,8.0,2933.0,47.0,Intel Pentium N6000,Intel Pentium,Intel UHD Graphics,LPDDR4X,Chrome OS,1280x720,Full HD,1920x1080
4.7,8.0,512.0,24.0,4800.0,66.5,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2880x1864
4.7,14.0,512.0,16.0,3200.0,90.0,Intel Core i7-12700H,Intel Core i7,NVIDIA GeForce RTX 4070,DDR4,Windows 11 Home,1280x720,WUXGA,1920x1080
4.4,8.0,512.0,16.0,4800.0,56.0,Intel Core i5-12450H,Intel Core i5,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.0,12.0,1000.0,16.0,4800.0,64.0,Qualcomm Snapdragon X Elite X1E-80-100,Qualcomm Snapdragon X Elite,Qualcomm Adreno X Elite,LPDDR5X,Windows 11 Professional,1920x1080,Full HD,2496x1664
4.7,14.0,512.0,16.0,3200.0,53.5,Intel Core i7-12700H,Intel Core i7,NVIDIA GeForce RTX 3070 Ti,DDR4,Free DOS,1280x720,Full HD,1920x1080
5.1,16.0,2000.0,32.0,4800.0,99.0,Intel Core Ultra 9 185H,Intel Core Ultra 9,NVIDIA GeForce RTX 4080,DDR5,Windows 11 Professional,1920x1080,WQUXGA,3840x2400
5.4,14.0,1000.0,16.0,4800.0,63.0,Intel Core i9-13900H,Intel Core i9,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,2.8K,2880x1800
5.0,16.0,1000.0,32.0,4800.0,83.0,Intel Core i7-13700HX,Intel Core i7,NVIDIA GeForce RTX 4070,DDR5,Free DOS,1920x1080,WQXGA,2560x1600
3.8,8.0,512.0,8.0,4800.0,48.5,Intel Core i3-N305,Intel Core i3,Intel UHD Graphics,LPDDR5,Windows 11 Home,1280x720,Full HD,1920x1080
4.8,8.0,1000.0,32.0,4800.0,70.0,Intel Core Ultra 7 258V,Intel Core Ultra 7,Intel Arc Graphics,LPDDR5X,Windows 11 Home,1920x1080,Full HD,1920x1200
5.0,16.0,1000.0,32.0,4800.0,83.0,Intel Core Ultra 7 165H,Intel Core Ultra 7,NVIDIA RTX 2000,DDR4,Windows 11 Professional,1280x720,WQXGA,2560x1600
4.7,12.0,512.0,16.0,5200.0,60.0,Intel Core i5-13500H,Intel Core i5,NVIDIA GeForce RTX 4060,DDR5,sin sistema operativo,1920x1080,Full HD,1920x1080
4.4,8.0,1000.0,16.0,4800.0,47.0,Intel Core i5-12450H,Intel Core i5,Intel UHD Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
4.7,8.0,512.0,16.0,6400.0,51.5,AMD Ryzen 7 Pro 6850U,AMD Ryzen 7,AMD Radeon 680M,LPDDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.5,6.0,256.0,8.0,4800.0,42.0,Intel Core i3-1315U,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,56.0,Unknown,Intel Core i5,NVIDIA GeForce RTX 4050,DDR5,Windows 11 Home,1280x720,Full HD,1920x1080
5.1,8.0,1000.0,16.0,4800.0,48.5,AMD Ryzen 7 8840HS,AMD Ryzen 7,AMD Radeon 780M,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.6,8.0,512.0,8.0,3200.0,38.0,Intel Core i5-13420H,Intel Core i5,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.1,4.0,256.0,8.0,4800.0,41.0,AMD Ryzen 3 7320U,AMD Ryzen 3,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.0,6.0,512.0,16.0,4800.0,57.0,AMD Ryzen 5 5625U,AMD Ryzen 5,AMD Radeon Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.7,12.0,1000.0,16.0,4800.0,70.0,Qualcomm Snapdragon X Elite X1E-78-100,Qualcomm Snapdragon X Elite,Qualcomm Adreno X Elite,LPDDR5X,Windows 11 Home,1920x1080,2.8K,2880x1620
4.7,12.0,512.0,18.0,4800.0,100.0,Apple M3 Pro,Apple M,Apple M3 Pro Graphics,DDR4,macOS Sonoma,1920x1080,Retina,3456x2234
5.5,20.0,1000.0,16.0,5600.0,83.0,Intel Core i7-14700HX,Intel Core i7,NVIDIA GeForce RTX 4060,DDR5,Windows 11 Home,1920x1080,WUXGA,1920x1200
4.7,10.0,512.0,8.0,4800.0,66.5,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2880x1864
4.5,4.0,512.0,8.0,4800.0,54.0,Intel Core i5-11320H,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,3840x2160
4.3,12.0,512.0,16.0,5600.0,57.0,Intel Core Ultra 5 125U,Intel Core Ultra 5,Intel Graphics,DDR5,Windows 11 Professional,1280x720,WUXGA,1920x1200
4.4,6.0,128.0,8.0,4800.0,63.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,LPDDR4X,Chrome OS,1280x720,WUXGA,1920x1200
4.1,4.0,512.0,8.0,5500.0,41.0,AMD Ryzen 3 7320U,AMD Ryzen 3,AMD Radeon Graphics,LPDDR5,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,6.0,512.0,8.0,3200.0,41.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
5.6,24.0,1000.0,16.0,4800.0,90.0,Intel Core i9-13980HX,Intel Core i9,NVIDIA GeForce RTX 4080,DDR5,Windows 11 Home,1280x720,WQXGA,2560x1600
4.7,10.0,512.0,16.0,4800.0,63.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.6,10.0,256.0,16.0,4800.0,54.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
5.0,10.0,1000.0,32.0,4800.0,68.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,WUXGA+,1920x1280
4.5,8.0,512.0,16.0,4267.0,52.5,AMD Ryzen 7 7730U,AMD Ryzen 7,AMD Radeon Graphics,LPDDR4X,Windows 11 Home,1920x1080,WUXGA,1920x1200
5.0,10.0,512.0,16.0,4800.0,38.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,10.0,1000.0,24.0,4800.0,73.0,AMD Ryzen AI 9 365,AMD Ryzen AI 9,NVIDIA GeForce RTX 4050,LPDDR5X,Windows 11 Home,1920x1080,3K,2880x1800
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.3,12.0,512.0,16.0,4800.0,57.0,Intel Core Ultra 5 125U,Intel Core Ultra 5,Intel Arc Graphics,LPDDR5X,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.7,10.0,512.0,16.0,4800.0,54.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,WQXGA,2560x1600
4.5,8.0,1000.0,16.0,4800.0,63.0,Intel Core Ultra 5 226V,Intel Core Ultra 5,Intel Arc Graphics 130V,LPDDR5,Windows 11 Professional,1280x720,WQXGA,2560x1600
5.1,8.0,1000.0,16.0,4800.0,57.0,AMD Ryzen 7 8845HS,AMD Ryzen 7,AMD Radeon 780M,LPDDR5X,Windows 11 Home,1920x1080,2K,2048x1280
4.4,6.0,256.0,8.0,4800.0,50.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,LPDDR5,Chrome OS,1920x1080,Full HD,1920x1080
4.9,10.0,1000.0,32.0,5200.0,53.5,Intel Core i7-13620H,Intel Core i7,NVIDIA GeForce RTX 4070,DDR5,Free DOS,1280x720,QHD,2560x1440
4.9,10.0,512.0,16.0,4800.0,54.0,Intel Core i7-13620H,Intel Core i7,NVIDIA GeForce RTX 4060,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,10.0,1000.0,32.0,6400.0,51.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,LPDDR5,Windows 11 Professional,1280x720,WUXGA,1920x1200
5.0,14.0,512.0,16.0,5600.0,90.0,Intel Core i7-13700H,Intel Core i7,NVIDIA GeForce RTX 4060,DDR5,Windows 11 Professional,1920x1080,WQXGA,2560x1600
5.2,10.0,512.0,16.0,3200.0,54.0,Intel Core i7-1365U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
5.0,6.0,1000.0,32.0,2666.0,51.0,Intel Core i7-10750H,Intel Core i7,NVIDIA GeForce RTX 2060,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
5.0,14.0,1000.0,16.0,4800.0,82.0,Intel Core i7-13700H,Intel Core i7,NVIDIA GeForce RTX 4050,LPDDR5,sin sistema operativo,1920x1080,QHD+,2560x1600
4.5,8.0,512.0,16.0,4800.0,51.3,AMD Ryzen 7 7730U,AMD Ryzen 7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.7,10.0,1000.0,16.0,4800.0,90.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,8.0,512.0,16.0,3200.0,71.0,AMD Ryzen 7 5800H,AMD Ryzen 7,NVIDIA GeForce RTX 3060,DDR4,Windows 11 Professional,1920x1080,WQXGA,2560x1600
4.8,10.0,512.0,16.0,4800.0,56.0,Intel Core i7-1265U,Intel Core i7,Intel Iris Xe Graphics,LPDDR5X,Windows 11 Home,1280x720,Full HD,2496x1664
4.4,8.0,512.0,16.0,3200.0,52.4,Intel Core i5-12450H,Intel Core i5,NVIDIA GeForce RTX 3050,DDR4,Free DOS,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,90.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.5,12.0,512.0,8.0,3200.0,54.0,Intel Core i5-12500H,Intel Core i5,NVIDIA GeForce RTX 4050,DDR4,Free DOS,1920x1080,Full HD,1920x1080
4.8,10.0,512.0,16.0,4800.0,66.0,Intel Core i7-1265U,Intel Core i7,Intel Iris Xe Graphics,LPDDR5,Windows 11 Professional,1280x720,Full HD,1920x1080
5.0,10.0,512.0,16.0,4800.0,50.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,WUXGA,1920x1200
