Título,Ofertas,Serie,Pantalla_Tamaño (pulgadas),Pantalla_Diagonal (cm),Pantalla_Tecnología,Pantalla_Luminosidad (cd/m²),Procesador,Disco_Duro_Tipo,Gráfica_Salida,Gráfica_Resolución externa,Conectividad_Lector de tarjetas,Comunicaciones_Conectividad,Comunicaciones_Versión Bluetooth,Cámara_Webcam,Cámara_Función de la cámara,Cámara_Resolución de la cámara,Teclado_Tipo de teclado,Teclado_Número de teclas,Teclado_Teclas adicionales,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Altura,Medidas y peso_Ancho,Medidas y peso_Peso,Otras características_Equipamiento,Otras características_Seguridad integrada,Otras características_Sensor,Otras características_Fecha de lanzamiento,Comunicaciones_Estándar wifi,Pantalla_Resolución de pantalla,Pantalla_Densidad de píxeles,Pantalla_Tasa de actualización de imagen,Procesador_Fabricante del procesador,Procesador_Tipo de procesador,Disco duro_Número de discos duros (instalados),Gráfica_Fabricante de la tarjeta gráfica,Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Conectividad_Tipo de tarjetas compatibles,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Nombre en clave del procesador,Procesador_Nivel de caché,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,RAM_Frecuencia de la memoria,Disco duro_Capacidad de memoria SSD,Teclado_Característica del teclado,Sonido_Potencia de altavoces,Alimentación_Número de celdas,Medidas y peso_Color,Otras características_Portátil configurable,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Procesador_Potencia máx. de diseño térmico (TDP),Gráfica_Tipo de memoria gráfica,Sistema operativo_Arquitectura bit,Pantalla_Tiempo de reacción,RAM_Extensión de memoria máxima,Gráfica_Tarjeta gráfica,Comunicaciones_Transmisión de datos,Almacenamiento_Lector óptico,Alimentación_Voltaje de salida,Alimentación_Intensidad de corriente,Otras características_Características especiales,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Sonido_Modo de sonido HDMI,Alimentación_Capacidad de la batería,Otras características_Certificación,IA_Característica IA,RAM_Número de ranuras de memoria RAM,RAM_Ranura de memoria RAM instaladas,RAM_Configuración de memoria RAM,Procesador_Chipset,Otras características_Software incluido,Gráfica_GPU,Pantalla_Propiedades de la pantalla,IA_Función IA,IA_Procesador IA,Disco duro_Capacidad del disco duro,Otras características_Localización,Conectividad_Conexión,Otras características_Expansión de hardware,Otras características_Artículo incluido,Otras características_Características de la carcasa,Otras características_Certificado,Gráfica_Característica de la tarjeta gráfica,Tipo,Conectividad_Conexión frontal,Propiedades de la carcasa_Tipo de caja,Propiedades de la carcasa_Color,Medidas y peso_Alto,Propiedades de la carcasa_Material de la carcasa,Propiedades de la carcasa_Alimentación,Adecuado para,Procesador_Frecuencia del reloj,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,Procesador_Chipset de la placa base,RAM_Número de ranuras para memoria RAM,Gráfica_Número de ranuras para PCIe,"Propiedades de la carcasa_Bahía interna de 2,5""","Propiedades de la carcasa_Bahía interna de 3,5""",Disco duro_Capacidad disco duro (TB),"Propiedades de la carcasa_Bahía externa de 5,25""",Otras características_Modo de sonido,Propiedades de la carcasa_Superficie del material,Disco duro_Capacidad disco duro (GB),"Propiedades de la carcasa_Bahía externa de 3,5""",Procesador_Procesadores compatibles,Precio_Min,Precio_Max,Precio_Mean,Categoria_General
ASUS Vivobook 15 (12th Gen F1504),217.0,ASUS Vivobook,15.6,39.624,,,,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,,,,,,,,,,,SonicMaster,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,413.99,949.0,681.5,Otro
LG Gram 15 (2024),81.0,LG Gram,15.6,39.624,Full HD,350.0,,SSD,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98 teclas,,2.0,polímero de litio,23 h,72 Wh,,aluminio,con tapa,"22,3 cm",17 mm,"35,6 cm","1,2 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,,1.0,,,,,,16:9,Meteor Lake,L3,,,LPDDR5,,,,"2 x 1,5 W",4.0,negro,,,,,,,,,,,,,,,,IPS,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,899.0,2548.66,1723.83,Otro
"LG Gram 15 (2024)
15ZD90S-G.AX75B",19.0,LG Gram,15.6,39.624,Full HD,350.0,Intel Core Ultra 7 155H,,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98 teclas,,2.0,polímero de litio,23 h,72 Wh,,aluminio,con tapa,"22,3 cm",17 mm,"35,6 cm","1,2 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Free DOS,,,16:9,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5,6.400 MHz,512 GB,teclado iluminado,"2 x 1,5 W",4.0,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,,,,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,906.2,1158.0,1032.1,Otro
GigaByte AERO 14 OLED 9MF-E2SESB4SH,23.0,Gigabyte Aero,14.0,35.56,2.8K,,Intel Core i5-12500H,,,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,63 Wh,,,con tapa,22 cm,17 mm,"31,1 cm","1,49 kg","micrófono integrado, USB-C, altavoces estéreo, lector de tarjetas, webcam","Trusted Platform Module (TPM 2.0), reconocimiento de rostro",,2023.0,IEEE 802.11ax,2.880 x 1.800 píxeles,,90 Hz,Intel,Intel Core i5,1.0,NVIDIA,6.144 MB / 6 GB,Free DOS,MicroSD,,16:10,Alder Lake-P,L3,18 MB,16 GB RAM,LPDDR5,,1.000 GB,teclado iluminado,2 x 2 W,,negro,,12.0,"1,8 GHz","4,5 GHz",45 W,GDDR6,,,,NVIDIA GeForce RTX 4050,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,885.96,1367.93,1126.95,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ1711",17.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1334U,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,sin sistema operativo,,SonicMaster,,Raptor Lake,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,,"4,6 GHz",55 W,,,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,retroiluminación LED,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,459.08,562.51,510.79,Otro
LG Gram 14Z90S,41.0,LG Gram,14.0,35.56,WUXGA,350.0,,,HDMI,,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,80 teclas,teclado numérico,2.0,polímero de litio,"29,5 h",72 Wh,,aluminio,con tapa,"21,4 cm",17 mm,"31,2 cm","1,1 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","protección de disco duro, Trusted Platform Module (TPM 2.0), bloqueo Kensington",,2024.0,IEEE 802.11ax,,,,Intel,,1.0,,memoria compartida,,,,16:10,,,,,LPDDR5,,,,"2 x 1,5 W",4.0,negro,,,,,,,64 Bit,,,,,ninguno,,,,IPS,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,,,,,,,,,,,,,disco duro,cable de alimentación,"resistente a golpes, resistente a la humedad",,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,949.0,2257.28,1603.14,Otro
Lenovo ThinkPad X1 Carbon Gen 12,56.0,Lenovo ThinkPad,14.0,35.56,,400.0,,PCIe SSD,,,ninguno,"Bluetooth, wifi, NFC",Bluetooth 5.3,"integrada, 8.0 Mpx",compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,57 Wh,65 W,,,"21,4 cm",15 mm,"31,2 cm","1,09 kg","micrófono integrado, USB-C, TrackPoint / TouchStick / Pointing Stick, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0), tecnología antirrobo Intel, tapa webcam, lector de huellas digitales, reconocimiento de rostro",,2024.0,IEEE 802.11ax,,,,Intel,,1.0,Intel,memoria compartida,,,,16:10,Meteor Lake,L3,12 MB,,LPDDR5X,,,teclado iluminado,2 x 1 W,3.0,negro,,12.0,,,,,64 Bit,,,Intel Graphics,,ninguno,,,,antirreflectante,,,,,,,,,,"Lenovo Commercial Vantage, Lenovo View",,,,,,,,,cable de alimentación,,Epeat,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1694.97,3100.72,2397.84,Otro
MSI Stealth 14 AI Studio A1V,21.0,MSI Stealth,14.0,35.56,,,,,HDMI 2.1,,,"wifi, Bluetooth",Bluetooth 5.4,,,,,,,2.0,,,72 Wh,240 W,,,"24,6 cm",,"31,5 cm","1,7 kg","USB-C, altavoces estéreo",,,,IEEE 802.11be,,,120 Hz,Intel,,,,,,,,,,,24 MB,,DDR5,,,,2 x 2 W,4.0,,,16.0,,,,,,,,,,,,,,OLED,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1502.36,3341.42,2421.89,Otro
"Lenovo Yoga Slim 7i Pro Gen 7 14""",1.0,Lenovo Yoga,14.0,35.56,,,,SSD,,,,"Bluetooth, wifi",Bluetooth 5.1,2.0 Mpx,,1920 x 1080 píxeles,,,,2.0,ión-litio,,61 Wh,65 W,,,"22,1 cm",15 mm,"31,2 cm","1,3 kg",,,,,,,,,Intel,,,,,,,Dolby Atmos,,,L3,,,,,,,2 x 2 W,4.0,,,,,,,,64 Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,849.01,849.01,849.01,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ694W",17.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1235U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,Alder Lake-P,L3,12 MB,8 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"0,9 GHz","4,4 GHz",15 W,,64 Bit,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,0x SO-DIMM,1 x 8 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,454.48,727.7,591.09,Otro
MSI Prestige 14 AI Studio,31.0,MSI Prestige,14.0,35.56,,,,SSD,HDMI 2.1,,,"wifi, Bluetooth, LAN",Bluetooth 5.4,,,1920 x 1080 píxeles,,,,,,,90 Wh,,,,"24,6 cm",19 mm,"31,3 cm","1,7 kg",USB-C,,,,IEEE 802.11be,,,,Intel,,,,,,,,16:10,Meteor Lake,L3,,,,,1.000 GB,teclado iluminado,,4.0,,,,,,28 W,,64 Bit,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1474.13,2483.15,1978.64,Otro
"Lenovo Yoga Slim 7i Pro Gen 7 14""
83CV006FSP",1.0,Lenovo Yoga,14.0,35.56,WUXGA,,Intel Core Ultra 7 155H,,,,,"Bluetooth, wifi",Bluetooth 5.1,2.0 Mpx,,1920 x 1080 píxeles,,,,2.0,ión-litio,,61 Wh,65 W,,,"22,1 cm",15 mm,"31,2 cm","1,3 kg",,,,,,1.920 x 1.200 píxeles,,60 Hz,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,Dolby Atmos,,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5X,7.467 MHz,512 GB,teclado iluminado,2 x 2 W,4.0,gris,,16.0,"3,8 GHz","4,8 GHz",28 W,,64 Bit,,,Intel Arc Graphics,ninguna,ninguno,,,,,,,,,,,0x SO-DIMM,,,,,,,Intel AI Boost,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,849.01,849.01,849.01,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ691W",6.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1235U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"0,9 GHz","4,4 GHz",15 W,,64 Bit,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,544.27,590.49,567.38,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ1704",19.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i7-1355U,SSD,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core 7,1.0,,memoria compartida,sin sistema operativo,,SonicMaster,,Raptor Lake-U,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"1,2 GHz",5 GHz,15 W,,,,,Intel Iris Xe Graphics,,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,545.56,644.41,594.98,Otro
"LG Gram 15 (2024)
15Z90S-G.AA55B",4.0,LG Gram,15.6,39.624,Full HD,350.0,Intel Core Ultra 5 125H,,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98 teclas,,2.0,polímero de litio,23 h,72 Wh,,aluminio,con tapa,"22,3 cm",17 mm,"35,6 cm","1,2 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 5,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Meteor Lake,L3,18 MB,16 GB RAM,LPDDR5,6.400 MHz,512 GB,,"2 x 1,5 W",4.0,negro,,14.0,"1,2 GHz","4,5 GHz",115 W,,64 Bit,,16 GB,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,999.0,1069.0,1034.0,Otro
"LG Gram 15 (2024)
15Z90S-G.AA74B",11.0,LG Gram,15.6,39.624,Full HD,350.0,Intel Core Ultra 7 155H,SSD,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98 teclas,,2.0,polímero de litio,23 h,72 Wh,,aluminio,con tapa,"22,3 cm",17 mm,"35,6 cm","1,2 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5,6.400 MHz,512 GB,teclado iluminado,"2 x 1,5 W",4.0,blanco,,16.0,"3,8 GHz","4,8 GHz",28 W,,64 Bit,,,Intel Arc Graphics,,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,,,,,,,,,Intel AI Boost,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,999.0,1403.59,1201.3,Otro
"LG Gram 15 (2024)
15Z90S-G.AA75B",18.0,LG Gram,15.6,39.624,Full HD,350.0,Intel Core Ultra 7 155H,SSD,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,,,98 teclas,,2.0,polímero de litio,23 h,72 Wh,,aluminio,con tapa,"22,3 cm",17 mm,"35,6 cm","1,2 kg","micrófono integrado, USB-C, altavoces estéreo, webcam","bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:9,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5,6.400 MHz,512 GB,teclado iluminado,"2 x 1,5 W",4.0,negro,,16.0,"3,8 GHz","4,8 GHz",28 W,,64 Bit,,16 GB,Intel Arc Graphics,ninguna,ninguno,,,teclado numérico,,Gigabit-LAN,HD Audio,9360 mAh,Certificación MIL-STD 810H,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,989.0,1913.41,1451.2,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504ZA-NJ710",19.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i7-1255U,,HDMI 1.4,,,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i7,1.0,Intel,memoria compartida,Free DOS,,SonicMaster,,Alder Lake-P,L3,12 MB,16 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,"1,2 GHz","4,7 GHz",15 W,,,,16 GB,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 8 + 1 x 8 GB,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,523.48,620.1,571.79,Otro
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ1710",21.0,ASUS Vivobook,15.6,39.624,Full HD,,Intel Core i5-1334U,,HDMI 1.4,,,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,,42 Wh,,,con tapa,"23,25 cm",17 mm,"35,97 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,,,1.920 x 1.080 píxeles,,60 Hz,Intel,Intel Core i5,1.0,Intel,memoria compartida,sin sistema operativo,,SonicMaster,,Raptor Lake,L3,12 MB,8 GB RAM,DDR4,,512 GB,,,3.0,plateado,,10.0,,"4,6 GHz",55 W,,,,16 GB,Intel UHD Graphics,ninguna,ninguno,,,teclado numérico,retroiluminación LED,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,431.48,534.52,483.0,Otro
HP OmniBook Ultra Flip 14,9.0,HP OmniBook,14.0,35.56,2.8K,400.0,,,HDMI,,,"wifi, Bluetooth",Bluetooth 5.4,,,,teclado FineTip,,,,polímero de litio,,64 Wh,,aluminio,convertible,"21,6 cm",14 mm,"21,6 cm","1,34 kg",,,,2024.0,IEEE 802.11be,2.880 x 1.800 píxeles,,,,,1.0,,memoria compartida,Windows 11 Home,,,16:10,,,,,,,,,,6.0,,,,,,,,,"0,2 ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,2224.21,2832.58,2528.39,Otro
ASUS Vivobook 15 OLED F1505,3.0,ASUS Vivobook,15.6,39.624,,,,SSD,HDMI,,,"wifi, Bluetooth",,integrada,,,,,,,,,50 Wh,,aluminio,con tapa,"22,7 cm",20 mm,"35,6 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ac,,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,SonicMaster,,,L3,,16 GB RAM,DDR4,,1.000 GB,,,3.0,plateado,,,,,,,64 Bit,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,OLED,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,779.0,1130.2,954.6,Otro
"MSI Prestige 14 AI Studio
C1MG-003UK",1.0,MSI Prestige,14.0,35.56,,,Intel Core Ultra 5 125H,SSD,HDMI 2.1,,,"wifi, Bluetooth, LAN",Bluetooth 5.4,,,1920 x 1080 píxeles,,,,,,,90 Wh,,,,"24,6 cm",19 mm,"31,3 cm","1,7 kg",USB-C,,,,IEEE 802.11be,1.920 x 1.080 píxeles,,,Intel,Intel Core Ultra 5,,Intel,memoria compartida,Windows 11 Home,,,16:10,Meteor Lake,L3,18 MB,16 GB RAM,DDR5,,1.000 GB,teclado iluminado,,4.0,gris,,14.0,"3,6 GHz","4,5 GHz",28 W,,64 Bit,,,Intel Arc Graphics,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,,,,,,,,,,,,,,,,,,1474.13,1474.13,1474.13,Otro
