ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,grafica_caracteristica_tarjeta,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
6.0,Barebone,,,Ethernet,,,,0.0,DDR4,,,,,,,Desktop,,negro,bricolaje,,2.0,,,,,,,167.72,191.39,179.56,,,,,,,,,,64.0,,,,1,,,5.0,,,931.0,,,,,,,478.0
9.0,Barebone,,,"Ethernet, Bluetooth, wifi",,,,,,,,,,,,Desktop,barebone,,bricolaje,,,1.0,,,,,,1630.91,2959.98,2295.45,20.3,21.0,,,,,,,,,5.0,,,1,,,22.0,,,931.0,,,,,,34.0,
7.0,Barebone,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ac,,,DDR5,,,ninguno,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,16.0,,,,,,,,604.19,833.1,718.64,13.0,12.0,,,,,,,4.7,,5.0,2.6,,1,20.0,916.0,,,,28.0,,,,398.0,297.0,,
8.0,Barebone,sin disco duro,,Ethernet,,,,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,barebone,negro,bricolaje,,4.0,,,canal 7.1,,,,203.31,243.99,223.65,21.93,16.8,,,,,,,,128.0,21.0,,65.0,1,,15.0,,,,67.0,,,1.0,398.0,,34.0,478.0
1.0,Barebone,,,Ethernet,,,,,DDR5,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,2.0,,,,,,213.48,213.48,213.48,15.5,8.0,5.0,,,5600.0,,,,96.0,15.0,,,1,,,5.0,,,,,,,,,,
2.0,Barebone,,HDMI,"wifi, Bluetooth, Ethernet",,,,0.0,,,,,,,,Desktop,barebone,negro,,,,1.0,,,,,,766.9,789.13,778.01,12.7,12.7,,,,,,,,,4.0,,,1,134.0,916.0,22.0,,,931.0,,,,,,,
2.0,Barebone,,,"wifi, Bluetooth, Ethernet",,,,,,,,,,,,Desktop,barebone,,,,,1.0,,,,,,766.9,789.13,778.01,12.7,12.7,,,,,,,,,4.0,,,1,,,22.0,,,931.0,,,,,,,
12.0,Barebone,disco duro M.2 SSD,HDMI,"Ethernet, wifi, Bluetooth",Bluetooth 4.0,,AMD,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,Desktop,barebone,negro,bricolaje,6.0,2.0,,,,,,,429.83,563.32,496.58,11.5,11.5,7.0,8.0,8.0,3200.0,256.0,2.3,4.0,,4.0,,15.0,1,4.0,391.0,,63.0,,1.0,3731.0,327.0,,398.0,813.0,,25.0
13.0,Barebone,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,IEEE 802.11ac,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,Desktop,nettop,negro,bricolaje,4.0,1.0,,,,,,,297.83,352.55,325.19,11.5,11.5,7.0,4.0,4.0,,128.0,1.1,2.8,,4.0,,6.0,1,7.0,715.0,,52.0,74.0,78.0,3731.0,,,1182.0,397.0,,26.0
7.0,Barebone,disco duro SSD,HDMI,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,,0.0,DDR4,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,,,,,,,353.78,465.91,409.85,13.0,12.0,,,,,,,,,5.0,,,1,10.0,916.0,,2259.0,,931.0,3731.0,190.0,,398.0,,,
14.0,Barebone,disco duro SSD,HDMI,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,,0.0,DDR4,,,,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,,,,,,,495.72,686.06,590.89,13.0,12.0,,,,,,,,,5.0,,,1,24.0,916.0,,2259.0,,931.0,3731.0,947.0,,398.0,,,
8.0,Barebone,disco duro SSD,HDMI,"Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ac,Intel,0.0,DDR4,,,ninguno,LAN 10/100/1000/2500,,,Desktop,barebone,negro,bricolaje,,,,,,,,,745.89,930.99,838.44,13.0,12.0,1.0,,,,,,,,5.0,,,1,55.0,916.0,,2259.0,,931.0,3731.0,833.0,,,,,
