ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,ia_caracteristica,ram_numero_ranuras_memoria,ram_configuracion_memoria,pantalla_propiedades,otras_caracteristicas_localizacion,conectividad_conexion,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
3.0,Chromebook,,,,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,,,con tapa,2020.0,IEEE 802.11ac,,,,MicroSD,altavoces estéreo,16:9,,,,,,,,,,panorámica,,,,,,,Laptop,138.39,269.0,203.69,14.0,35.56,,1280x720,10.0,,23.4,19.0,32.9,1.4,,,,,,4.0,,,,,,,1,,,163.0,462.0,,,,,,,,
22.0,Chromebook,,,,,"wifi, Bluetooth",Bluetooth 4.2,,,,,,,ión-litio,42.0,,con tapa,2019.0,,,,,MicroSD,,16:9,,,,3.0,,,,,,panorámica,,,,,,,Laptop,158.99,304.83,231.91,11.6,29.46,,,10.0,,20.4,20.0,29.0,1.25,,,,,,,,,,,,,1,,,,,,,3731.0,,,,,
32.0,Chromebook,,,,integrado,"wifi, Bluetooth",Bluetooth 4.2,1.3 Mpx,compatible con HD,1280 x 720 píxeles,,,,,38.0,,con tapa,2021.0,IEEE 802.11ac,,,,MicroSD,,16:9,,,,2.0,,,,,,panorámica,,,,,,,Laptop,266.8,541.6,404.2,14.0,35.56,250.0,1280x720,10.0,45.0,22.9,19.0,32.7,1.45,,,,,,,,,,,,,1,,,,71.0,,,,,,,,
1.0,Chromebook,Full HD,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,,,con tapa,2020.0,IEEE 802.11ac,,1.0,ARM,MicroSD,altavoces estéreo,16:9,,,,,negro,,,,,,,,,,,,Laptop,138.39,138.39,138.39,14.0,35.56,,1280x720,10.0,,23.4,19.0,32.9,1.4,,,4.0,,64.0,4.0,,,,,,,1,3.0,3.0,163.0,364.0,,,3731.0,,71.0,,1604.0,1604.0
12.0,Chromebook,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,3.0,gris,,ninguna,ninguno,,antirreflectante,,,,,,,Laptop,310.96,429.72,370.34,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,60.0,10.0,8.0,,256.0,,,4.4,,,,,1,69.0,715.0,,145.0,529.0,,3731.0,181.0,71.0,255.0,1604.0,1604.0
14.0,Chromebook,HD Ready,SSD,,,"wifi, Bluetooth",Bluetooth 4.2,,,,,,,ión-litio,42.0,,con tapa,2021.0,,Intel,1.0,Intel,MicroSD,,16:9,,LPDDR4,,3.0,negro,64.0,ninguna,ninguno,,,,,,,,,Laptop,223.56,304.83,264.19,11.6,29.46,,,10.0,,20.4,20.0,29.0,1.25,,4.0,4.0,,128.0,,1.1,2.8,6.0,,,,1,27.0,37.0,,28.0,37.0,,3731.0,116.0,185.0,108.0,55.0,55.0
5.0,Chromebook,WUXGA,SSD,,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,56.0,,con tapa,2023.0,IEEE 802.11ax,,1.0,,,altavoces estéreo,16:10,,,,,,,,,,panorámica,,,,,,,Laptop,369.0,634.86,501.93,14.0,35.56,,1920x1080,10.0,,22.8,20.0,31.9,1.4,,,8.0,,,,,,,,,,1,,,,405.0,,,3731.0,,71.0,,537.0,537.0
32.0,Chromebook,,,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,,,MicroSD,altavoces estéreo,16:9,,,,2.0,,,,,,,,,,,,,Laptop,247.87,513.77,380.82,11.6,29.46,,1280x720,,,20.5,21.0,29.5,1.4,,,,,,,,,,,,,1,,,,462.0,,,,,,,,
13.0,Chromebook,Full HD,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,1.3 Mpx,compatible con HD,1280 x 720 píxeles,,,,,38.0,,con tapa,2021.0,IEEE 802.11ac,Intel,1.0,,MicroSD,,16:9,,LPDDR4X,,2.0,plateado,,ninguna,ninguno,,,,0x SO-DIMM,,,,,Laptop,266.8,347.98,307.39,14.0,35.56,250.0,1280x720,10.0,45.0,22.9,19.0,32.7,1.45,60.0,4.0,8.0,,128.0,,1.1,2.8,,,,,1,37.0,715.0,,71.0,74.0,,3731.0,116.0,71.0,108.0,1604.0,1604.0
11.0,Chromebook,Full HD,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,1.3 Mpx,compatible con HD,1280 x 720 píxeles,,,,,38.0,,con tapa,2021.0,IEEE 802.11ac,Intel,1.0,,MicroSD,,16:9,L3,LPDDR4X,,2.0,plateado,,ninguna,ninguno,,,,0x SO-DIMM,,convertible,,,Laptop,337.64,415.99,376.81,14.0,35.56,250.0,1280x720,10.0,45.0,22.9,19.0,32.7,1.45,60.0,4.0,8.0,,128.0,,1.1,2.8,,,,,1,37.0,715.0,,71.0,74.0,,3731.0,116.0,71.0,108.0,1604.0,1604.0
