ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
28.0,Mini PC,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,1.0,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,,,,,,,,,,,,,,,,,659.0,2351.58,1505.29,12.7,12.7,,,,,,,,,,5.0,,,1,,,36.0,,,,,164.0,,139.0,,,
6.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,aluminio,,,,,,,,,,,,,,,,659.0,725.44,692.22,12.7,12.7,0.67,,16.0,,256.0,,,,,5.0,,,1,19.0,8.0,36.0,8.0,,4.0,3731.0,164.0,,139.0,233.0,,
3.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,aluminio,,,,,,,,,,,,,,,,1548.82,1623.99,1586.4,12.7,12.7,0.73,,24.0,,512.0,,,,,5.0,,,1,17.0,3.0,36.0,8.0,,4.0,3731.0,164.0,,139.0,297.0,,
34.0,Mini PC,,,"Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,,,,,,,,,,,,Desktop,,nettop,negro,,bricolaje,,,,,,,,,,,,,,,139.95,480.75,310.35,12.4,12.4,,,,,,,,,,5.0,,,1,,,63.0,,,931.0,,,,,,,
2.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,,,,,,,,,,,,,,,,,735.02,1098.62,916.82,12.7,12.7,0.67,,16.0,,256.0,,,,,5.0,,,1,19.0,8.0,36.0,2259.0,,,,164.0,,139.0,233.0,,
27.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),,,,,,,,,,,,,,,,,,599.0,1985.39,1292.2,19.7,19.7,,,,,,,,,,3.0,,,1,,,36.0,,,931.0,,,,,,,
12.0,Mini PC,,,"Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,,,,,,ninguno,,,,,,Desktop,,nettop,negro,,bricolaje,,,,,,,,,,,,,,,139.95,381.9,260.92,12.4,12.4,0.6,,,,,,,,,5.0,,,1,8.0,916.0,63.0,,,931.0,3731.0,60.0,,165.0,,,
64.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Intel,,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,plateado,,,,2.0,,,,,,,,,,,,,563.75,2548.93,1556.34,11.2,14.4,0.8,,,,,,,,,4.0,,,1,,270.0,,44.0,462.0,,,,,,,,
43.0,Mini PC,,,wifi,Bluetooth 5.2,,,,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,desktop,negro,,"principiante, profesional, empresas",,,,,,,,,,,,,,,295.04,1342.3,818.67,17.5,17.7,,,,,,,,,,3.0,,,1,,,106.0,,,931.0,,,,,,,
4.0,Mini PC,disco duro M.2 SSD,,wifi,Bluetooth 5.2,,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,desktop,negro,,"principiante, profesional, empresas",,,,,,,,,,,,,,,295.04,636.53,465.78,17.5,17.7,,,8.0,,256.0,,,,,3.0,,,1,141.0,916.0,106.0,2259.0,,931.0,3731.0,,,1182.0,,,
2.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,,,,,,,,,,,,,,,,,914.11,994.7,954.4,12.7,12.7,0.67,,16.0,,512.0,,,,,5.0,,,1,19.0,8.0,36.0,2259.0,,,,164.0,,139.0,233.0,,
2.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,aluminio,,,,,,,,,,,,,,,,1099.0,1179.0,1139.0,12.7,12.7,0.67,,24.0,,512.0,,,,,5.0,,,1,19.0,8.0,36.0,8.0,,4.0,3731.0,164.0,,139.0,233.0,,
