ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,otras_caracteristicas_articulo_incluido,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,almacenamiento_formato_audiovisual_compatible,disco_duro_capacidad_disco_duro_gb,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,procesador_zocalo_de_cpu_freq
10.0,PC completo,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,Desktop,torre,,,,,DVD±RW,,sí,,,459.0,697.49,578.25,28.4,14.5,,,,,,,,,,34.0,,,1,,,34.0,,,931.0,,,,,,
7.0,PC completo,,,"Ethernet, wifi, Bluetooth",,,AMD,,DDR4,64.0,ninguno,,,Desktop,torre,gris,,12.0,1.0,DVD±RW,,sí,,,540.0,697.49,618.75,28.4,14.5,5.6,16.0,8.0,3200.0,512.0,3.9,4.4,,,34.0,,65.0,1,41.0,391.0,34.0,,83.0,931.0,,327.0,,389.0,813.0,478.0
3.0,PC completo,disco duro M.2 SSD,HDMI,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,torre,gris,,12.0,,DVD±RW,,sí,,,459.0,631.8,545.4,28.4,14.5,5.65,16.0,16.0,3200.0,512.0,3.9,4.4,,,34.0,,65.0,1,41.0,391.0,34.0,2259.0,83.0,931.0,3731.0,327.0,,165.0,813.0,478.0
2.0,PC completo,disco duro SSD,,"wifi, Bluetooth, Ethernet",,,Intel,1.0,,64.0,,,,Desktop,,negro,empresas,20.0,,,,,,,1184.87,1534.18,1359.53,,,,25.0,16.0,,512.0,3.4,4.7,,,,,35.0,1,13.0,374.0,112.0,2259.0,529.0,,3731.0,833.0,92.0,1182.0,297.0,749.0
1.0,PC completo,,,"wifi, Ethernet",,,,,,,,,,Desktop,semitorre,,,,,,,,,,265.99,265.99,265.99,41.0,16.0,,,,,,,,,,35.0,,,1,,,1.0,,,,,,,,,
1.0,PC completo,disco duro SSD,,"wifi, Ethernet, Bluetooth",,,Intel,1.0,,64.0,,,,Desktop,,negro,empresas,12.0,,,,,,,1492.29,1492.29,1492.29,,,,18.0,16.0,,512.0,2.0,4.4,,,,,74.0,1,29.0,715.0,112.0,2259.0,529.0,,3731.0,947.0,92.0,1182.0,813.0,749.0
1.0,PC completo,disco duro SSD,,Ethernet,,,Intel,,DDR4,64.0,grabadora DVD,Ethernet 10/100/1000,,Desktop,,negro,,8.0,2.0,,,,,,696.34,696.34,696.34,30.3,15.5,4.2,12.0,8.0,2933.0,256.0,3.3,4.3,64.0,,33.0,,89.0,1,30.0,202.0,,,529.0,87.0,3731.0,190.0,,200.0,397.0,749.0
1.0,PC completo,disco duro SSD,,,,,Intel,,,,,,,Desktop,,,,12.0,,,,,,,1086.8,1086.8,1086.8,,,,18.0,8.0,,512.0,2.5,4.4,,,,2.5,65.0,1,79.0,,87.0,,529.0,,,947.0,,1182.0,813.0,749.0
1.0,PC completo,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR4,64.0,ninguno,Ethernet 10/100/1000,teclado,Desktop,,negro,,8.0,2.0,,,,,,597.1,597.1,597.1,30.3,15.5,4.2,12.0,8.0,3200.0,256.0,3.3,4.3,,,33.0,,89.0,1,30.0,202.0,,,529.0,87.0,3731.0,190.0,,1182.0,397.0,749.0
1.0,PC completo,disco duro SSD,,Ethernet,,,Intel,,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,minitorre,negro,,12.0,,,,sí,,,640.0,640.0,640.0,30.6,16.0,10.0,12.0,4.0,,256.0,2.9,4.3,32.0,,34.0,,65.0,1,133.0,108.0,87.0,2259.0,123.0,,19.0,947.0,,14.0,813.0,135.0
