ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,almacenamiento_formato_audiovisual_compatible,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
128.0,PC de oficina,,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,torre,,,,,,,,,,,,,,,,,,451.11,1937.12,1194.12,30.8,15.5,,,,,,,,,,33.0,,,1,,,59.0,,,931.0,,,,,,,
2.0,PC de oficina,disco duro M.2 SSD,,"wifi, Ethernet",,,Intel,1.0,DDR4,,,grabadora DVD,,,,,,Desktop,,,negro,empresas,16.0,,,,,,,,,,,,,,,699.0,719.0,709.0,40.5,17.4,12.0,16.0,32.0,2666.0,1000.0,2.9,4.8,,,37.0,,65.0,1,15.0,2.0,,111.0,123.0,,15.0,833.0,28.0,1182.0,589.0,,135.0
2.0,PC de oficina,disco duro M.2 SSD,,wifi,,,AMD,1.0,DDR4,,,grabadora DVD,,,,,,Desktop,,,negro,empresas,12.0,,,,,,,,,,,,,,,439.0,459.0,449.0,40.5,17.5,12.0,16.0,16.0,2666.0,500.0,3.9,4.4,,,37.0,,65.0,1,41.0,,,,83.0,,,327.0,,389.0,813.0,,478.0
80.0,PC de oficina,,,"Bluetooth, wifi",,,Intel,,DDR5,,,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,,,,,,,,,,,,,,,,601.78,1564.72,1083.25,29.28,9.26,,,,,512.0,,,,,29.0,,,1,,,126.0,,,,3731.0,,,1182.0,,,749.0
93.0,PC de oficina,,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,,DDR5,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,,2.0,,,,,,,,,,,,,,449.9,1244.34,847.12,17.8,3.6,,,,,512.0,,,64.0,,18.0,,,1,,,126.0,,,,3731.0,,,1182.0,,,
13.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,8.0,2.0,,,,,,,,,,,,,,704.83,1028.56,866.69,30.8,15.5,7.2,12.0,16.0,4800.0,512.0,,4.7,64.0,,33.0,3.5,,1,9.0,202.0,59.0,,866.0,15.0,3731.0,190.0,,1182.0,397.0,,749.0
7.0,PC de oficina,,,Ethernet,Bluetooth 5.0,,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,desktop,,,,,1.0,1.0,,,,,,,,,,,,591.76,1085.08,838.42,29.0,9.25,,,,,,,,,,34.0,,,1,,391.0,213.0,,,931.0,,,,,,3.0,
41.0,PC de oficina,,,"Bluetooth, wifi, Ethernet",Bluetooth 4.2,IEEE 802.11a,Intel,,,,,,Ethernet 10/100/1000,,,,,Desktop,lector de tarjetas,factor de forma pequeño (SFF),,empresas,,,,,,,,DVD±RW,,,,,,,,503.92,1196.38,850.15,32.0,9.4,,,,,,,,,,31.0,,,1,,,31.0,,,931.0,,,,,,,
1.0,PC de oficina,disco duro SSD,,"wifi, Ethernet",,,Intel,1.0,DDR3,,64.0,grabadora DVD,,,,,,Desktop,,torre,negro,empresas,,,,,,,,,,,,,,,,359.9,359.9,359.9,,,7.0,,32.0,,1000.0,,3.9,,,,,,1,,,,2259.0,,4.0,,833.0,,1182.0,,,
2.0,PC de oficina,disco duro SSD,DVI,wifi,,,Intel,,,,,grabadora DVD,,,,,,Desktop,,,negro,empresas,4.0,,,,,,,,,,,,,,,379.0,669.0,524.0,,,,6.0,32.0,,1000.0,3.4,3.8,,,,3.4,65.0,1,7.0,108.0,,111.0,1.0,,3731.0,947.0,,,397.0,,
16.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,20.0,2.0,,,,,,,,,,,,,,649.9,915.18,782.54,17.8,3.6,,24.0,16.0,,512.0,2.6,5.0,64.0,,18.0,2.6,,1,36.0,374.0,126.0,,,,3731.0,947.0,,1182.0,163.0,,749.0
37.0,PC de oficina,,,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,,,,,,,,,,,,,,,,489.46,887.07,688.26,30.8,10.0,,,,,,,,,,27.0,,,1,,,213.0,,,931.0,,,,,,,
21.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi",,,Intel,,DDR5,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,20.0,2.0,,,,,,,,,,,,,,685.51,967.22,826.37,29.28,9.26,,24.0,16.0,,512.0,2.6,5.0,64.0,,29.0,2.6,,1,36.0,374.0,126.0,,,,3731.0,947.0,,1182.0,163.0,,749.0
9.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi, Ethernet",Bluetooth 4.2,IEEE 802.11a,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,lector de tarjetas,factor de forma pequeño (SFF),negro,empresas,8.0,2.0,,,,,,DVD±RW,canal 7.1,,,,,,,503.92,558.08,531.0,32.0,9.4,5.0,12.0,8.0,3200.0,256.0,,4.5,64.0,,31.0,3.4,58.0,1,28.0,202.0,31.0,,52.0,87.0,3731.0,190.0,,1182.0,397.0,,
2.0,PC de oficina,disco duro M.2 SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,12.0,2.0,,,,,,,,,,,,,,451.11,618.7,534.9,30.8,15.5,4.2,18.0,8.0,3200.0,256.0,3.0,4.6,64.0,,33.0,,117.0,1,39.0,374.0,59.0,,529.0,15.0,3731.0,947.0,,200.0,813.0,,749.0
7.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,,,,,,,762.08,962.27,862.17,30.8,15.5,7.2,24.0,16.0,4800.0,512.0,,5.0,64.0,,33.0,2.6,,1,36.0,374.0,59.0,,866.0,15.0,3731.0,947.0,,1182.0,163.0,,749.0
14.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,,2.0,,,,,,,,,,,,,,676.46,924.95,800.71,30.8,15.5,5.31,,16.0,3200.0,512.0,,,64.0,,33.0,,,1,39.0,374.0,59.0,2259.0,,931.0,3731.0,947.0,,1182.0,,,
48.0,PC de oficina,,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,torre,,,,,,,,,,,,,,,,,,666.14,1431.37,1048.75,30.8,15.5,,,,,,,,,,33.0,,,1,,,106.0,,,931.0,,,,,,,
12.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",,,Intel,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,,negro,empresas,16.0,4.0,,,,,,,,,,,,,,622.0,695.43,658.71,29.77,9.25,5.3,20.0,8.0,3200.0,256.0,2.5,4.6,128.0,,33.0,2.5,65.0,1,49.0,202.0,213.0,63.0,866.0,31.0,3731.0,947.0,,1182.0,233.0,,749.0
8.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,2.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,28.0,,,,,,,,,mate,512 GB,,,,,932.69,1341.59,1137.14,30.8,15.5,7.2,33.0,16.0,,512.0,,5.4,,,33.0,2.1,,1,69.0,374.0,59.0,,866.0,15.0,3731.0,833.0,,1182.0,160.0,,749.0
