ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,propiedades_de_la_carcasa_bahia_externa_de_3_5,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
4.0,PC gaming,disco duro SSD,,"wifi, Ethernet",,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,gaming,16.0,2.0,,,,,,,,,,,866.25,976.09,921.17,27.3,48.1,7.0,20.0,32.0,3200.0,1000.0,2.5,4.6,,,49.0,2.5,65.0,1,47.0,358.0,,2259.0,866.0,93.0,,947.0,52.0,165.0,233.0,,749.0
4.0,PC gaming,disco duro SSD,,,,,,1.0,DDR4,,,ninguno,,,,,Desktop,,desktop,negro,gaming,,,,,,,,,,,,,823.99,868.67,846.33,,,,,16.0,,1000.0,,,,,,,,1,15.0,487.0,,2259.0,,148.0,,295.0,,398.0,,,
2.0,PC gaming,disco duro M.2 SSD,VGA,wifi,,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,,,,gaming,20.0,,,,,,,,,,,,1145.0,1241.0,1193.0,,,,25.0,32.0,,1000.0,2.1,4.9,,,,2.1,65.0,1,33.0,191.0,,2259.0,529.0,95.0,679.0,833.0,,,297.0,,
4.0,PC gaming,disco duro SSD,,"Ethernet, wifi",,,Intel,1.0,DDR5,GDDR6X,,ninguno,,,,,Desktop,,,negro,gaming,32.0,2.0,,,,,,,,,,,2999.98,3099.99,3049.98,,,20.0,36.0,32.0,5200.0,2000.0,,6.0,,,,3.2,125.0,1,25.0,44.0,,,866.0,931.0,193.0,356.0,,389.0,194.0,,
4.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,GDDR6X,,ninguno,,,,,Desktop,,,negro,gaming,24.0,2.0,,,,,,,,,,,2199.98,2299.99,2249.98,,,18.0,30.0,32.0,3200.0,2000.0,2.4,5.2,,,,3.2,125.0,1,10.0,66.0,,2259.0,529.0,931.0,412.0,356.0,,389.0,337.0,,749.0
32.0,PC gaming,disco duro SSD,,"wifi, Ethernet",,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,gaming,16.0,,,,,,,,,,,,817.74,1879.29,1348.51,27.3,48.1,,20.0,,3200.0,,2.5,4.6,,,49.0,2.5,65.0,1,47.0,,,2259.0,866.0,93.0,,947.0,52.0,165.0,233.0,,749.0
2.0,PC gaming,disco duro M.2 SSD,,wifi,,,AMD,,,,,ninguno,,,,,Desktop,,,negro,"empresas, gaming",12.0,,,,,,,,,,,,539.0,579.0,559.0,,,,8.0,16.0,,1000.0,3.6,4.1,,,,3.1,65.0,1,120.0,89.0,,2259.0,19.0,,124.0,327.0,,,813.0,,478.0
96.0,PC gaming,,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,Desktop,,minitorre,,gaming,,,2.0,,,,,,,,,,487.99,2761.34,1624.66,29.7,15.5,,,,,,,,,,33.0,,,1,,,40.0,,,931.0,,,,,,139.0,
30.0,PC gaming,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.1,IEEE 802.11ax,,1.0,,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,,,,,,,,,,,,,725.0,1532.98,1128.99,30.4,17.0,,,,,,,,,,37.0,,,1,,,9.0,,,931.0,679.0,,,389.0,,,
2.0,PC gaming,disco duro SSD,,,,,Intel,,,,,,,,,,Desktop,,,,,20.0,,,,,,,,,,,,1885.41,3079.31,2482.36,,,,24.0,32.0,,1000.0,3.5,5.1,,,,3.5,125.0,1,14.0,24.0,,2259.0,866.0,24.0,,947.0,,,163.0,,
