ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,caracteristicas_especiales,almacenamiento_formato_audiovisual_compatible,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,sistema_operativo_software_incluido,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
2.0,PC multimedia,disco duro M.2 SSD,,wifi,,,AMD,1.0,DDR4,,,,,,,,Desktop,semitorre,negro,empresas,12.0,,,,,,,,,,453.0,509.0,481.0,,,,16.0,16.0,,500.0,3.9,4.4,,,3.9,65.0,1,41.0,10.0,,,83.0,12.0,,327.0,,1182.0,813.0,,478.0
42.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,,,,,,,Ethernet 10/100/1000,,,,Desktop,desktop,,principiante,,,,1.0,,,,,,,297.83,746.2,522.01,27.0,9.5,,,,,,,,,30.0,,,1,,,11.0,,,931.0,,,,,,139.0,
24.0,PC multimedia,,,"wifi, Bluetooth",,,,1.0,,,,,,,,,Desktop,factor de forma pequeño (SFF),negro,,,,1.0,,,,,,,,452.68,743.94,598.31,30.2,9.7,,,16.0,,512.0,,,,27.0,,,1,,715.0,,2259.0,,931.0,,,,,,,
12.0,PC multimedia,,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,Desktop,,,,,,,,,,,,,,556.87,1139.99,848.43,28.8,14.5,,,,,,,,,34.0,,,1,,,34.0,,,,,,29.0,,,,
33.0,PC multimedia,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,,,,,,,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,,,,,,,,,,,,,2136.97,5930.79,4033.88,19.7,19.7,,,,,,,,,9.0,,,1,,,,,,931.0,,,,,,,
1.0,PC multimedia,,HDMI,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,8.0,2.0,,1.0,,,,,,,477.01,477.01,477.01,27.0,9.5,,12.0,8.0,3200.0,512.0,,4.5,,30.0,3.4,58.0,1,28.0,202.0,11.0,,52.0,931.0,3731.0,190.0,,165.0,397.0,139.0,
8.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,gris,,12.0,2.0,,,,,,,,,577.0,857.57,717.29,28.8,14.5,5.4,18.0,16.0,3200.0,512.0,2.5,4.4,32.0,34.0,2.5,117.0,1,79.0,202.0,34.0,,529.0,31.0,3731.0,947.0,29.0,389.0,813.0,,749.0
46.0,PC multimedia,,,Ethernet,,,,,,,,,,,,,Desktop,torre,,"empresas, principiante, profesional",,,,,,,,,,,899.65,2466.75,1683.2,30.8,33.8,,,,,,,,,10.0,,,1,,,112.0,,,931.0,,,,,,,
2.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth",Bluetooth 5.0,,,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,Desktop,desktop,gris,,,,,,,,,,,,330.0,450.0,390.0,31.6,9.3,4.2,,8.0,,256.0,,,,29.0,,,1,,391.0,,2259.0,,13.0,3731.0,,,27.0,,,
61.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,,,,,,,Ethernet 10/100/1000,,,,Desktop,minitorre,,,,,,1.0,,,,,,,421.85,2236.26,1329.06,30.3,15.5,,,,,,,,,33.0,,,1,,,77.0,,,931.0,,,,,,139.0,
