ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
19.0,Portátil convertible,Full HD,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,68.0,,,convertible,2024.0,IEEE 802.11ax,Intel,,Intel,MicroSD,,16:9,L3,,,,,,64.0,,,,,panorámica,,,,,,,convertible,,,,Laptop,845.99,2167.39,1506.69,15.6,39.624,400.0,8192x4608,1920x1080,,65.0,22.8,14.0,35.5,1.46,,,12.0,,,,4.0,,,15.0,,,,,,1,,,93.0,405.0,55.0,,3731.0,,,753.0,,
11.0,Portátil convertible,2.8K,,,,"wifi, Bluetooth",Bluetooth 5.3,0.8 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,teclado iluminado,3.0,gris,,64.0,,5G,ninguno,,,,,,,,,convertible,Intel AI Boost,,,Laptop,2607.28,3407.6,3007.44,14.0,35.56,400.0,,1920x1080,,65.0,21.5,16.0,31.3,1.33,,120.0,12.0,32.0,6400.0,1000.0,,1.7,4.8,57.0,,,,,,1,56.0,135.0,,673.0,462.0,,3731.0,297.0,1043.0,330.0,168.0,168.0
66.0,Portátil convertible,,,,,"wifi, Bluetooth",Bluetooth 5.3,0.8 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,,convertible,2024.0,IEEE 802.11ax,Intel,,,,,16:10,,,,3.0,,,,,,,,,,,,,,,,,,,Laptop,2267.8,3577.19,2922.49,14.0,35.56,400.0,,1920x1080,,65.0,21.5,16.0,31.3,1.33,,,,,,,,,,,,,,,,1,,,,673.0,,,,,,,,
3.0,Portátil convertible,Full HD,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,68.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,LPDDR5,teclado iluminado,,gris,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,,convertible,,,,Laptop,845.99,1389.0,1117.49,15.6,39.624,400.0,8192x4608,1920x1080,,65.0,22.8,14.0,35.5,1.46,,,12.0,8.0,,512.0,4.0,0.9,5.0,15.0,,,,,,1,40.0,916.0,93.0,405.0,55.0,,3731.0,38.0,1212.0,753.0,1604.0,1604.0
9.0,Portátil convertible,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,4.0,,76.0,,,convertible,2024.0,IEEE 802.11ax,Intel,,,MicroSD,Dolby Atmos,16:10,L3,,,,,,64.0,,,,,,,,,,,,convertible,,,,Laptop,1237.99,2766.34,2002.16,16.0,40.64,400.0,8192x4608,1920x1080,,65.0,22.3,11.0,31.2,1.26,,,,,,,4.0,,,28.0,,,,,,1,,,93.0,,462.0,,,,,,,
20.0,Portátil convertible,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,73.0,,,convertible,2024.0,IEEE 802.11be,,,,MicroSD,,16:10,,,,4.0,negro,,,,,,,OLED,,,,,,,,,,,Laptop,1799.0,3914.27,2856.64,13.3,33.782,400.0,,1920x1080,,200.0,21.0,18.0,29.8,1.38,,,,,,1000.0,,,,,,20.0,10.0,,,1,,,10.0,405.0,,,,,,,,
32.0,Portátil convertible,,,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,61.0,,aluminio,convertible,2023.0,IEEE 802.11ax,Intel,,,MicroSD,,16:9,,,,,,,64.0,,,,,,,,,,,,convertible,,,,Laptop,1060.76,1826.69,1443.72,13.3,33.782,370.0,,1920x1080,20.0,,20.2,13.0,30.4,1.83,,,,,,,10.0,,,,,,,,,1,,,93.0,405.0,,,,,,,,
7.0,Portátil convertible,,,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,,70.0,,,con tapa,2022.0,IEEE 802.11ax,Intel,,,,,16:10,L3,,,,,,64.0,,,,,,,,,,,,,,,,Laptop,859.0,1400.67,1129.84,14.0,35.56,400.0,,1920x1080,,,22.8,19.0,31.3,1.5,,,,,,,,,,,,,,,,1,,,198.0,145.0,,,,,1212.0,,,
12.0,Portátil convertible,WUXGA,SSD,,3 en 1,"Bluetooth, wifi",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,,70.0,,,convertible,2025.0,IEEE 802.11be,,1.0,,,,16:10,,LPDDR5X,,,gris,,,,,,,,,,,,,,"capacitiva, convertible",,,,Laptop,1292.6,1502.99,1397.8,14.0,35.56,400.0,,1920x1080,,65.0,22.1,17.0,31.3,1.57,,,,16.0,,1000.0,,,,,,,,,,1,6.0,270.0,198.0,,,,3731.0,,1212.0,,537.0,537.0
15.0,Portátil convertible,3K,,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,73.0,,,convertible,2024.0,IEEE 802.11be,AMD,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5X,teclado iluminado,4.0,negro,GDDR6,64.0,,ninguna,ninguno,,,,,,0x SO-DIMM,,,,AMD Ryzen AI,,,Laptop,2099.0,2504.49,2301.74,13.3,33.782,400.0,,1920x1080,,200.0,21.0,18.0,29.8,1.38,,60.0,24.0,32.0,,1000.0,,2.0,5.1,54.0,32.0,20.0,10.0,,,1,23.0,487.0,10.0,405.0,19.0,,400.0,27.0,1212.0,330.0,168.0,168.0
