ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
30.0,Portátil gaming,Full HD,SSD,,,"LAN, Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,2.0,ión-litio,48.0,,,con tapa,,2024.0,IEEE 802.11ax,,1.0,,,,16:9,L3,DDR5,teclado iluminado,3.0,negro,sí,,,,,,,,,,,,,,,,,,,,,,,,Laptop,647.0,1031.71,839.36,15.6,39.624,,4096x2304,,,,25.6,23.0,35.9,2.3,144.0,16.0,16.0,5600.0,512.0,4.0,,,,,,,,,1,,,60.0,2.0,54.0,2.0,,,,,1604.0,1604.0
29.0,Portátil gaming,UHD+,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,88.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,,,,,GDDR6,64.0,,,,,,,,,,,,,,,,,,,,,,Laptop,1031.31,2069.99,1550.65,16.0,40.64,600.0,,1920x1080,,240.0,25.5,22.0,35.4,1.9,60.0,24.0,16.0,,1000.0,4.0,1.8,5.0,45.0,,,,,,1,91.0,,14.0,2.0,274.0,5.0,400.0,807.0,1212.0,299.0,,
5.0,Portátil gaming,,,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,ión-litio,90.0,,,con tapa,,2024.0,IEEE 802.11be,,1.0,NVIDIA,SD,Dolby Atmos,16:10,,,,4.0,,,,,"0,2 ms",,,,,,,,,,,,,,,,,,,,,Laptop,2299.0,4010.22,3154.61,16.0,40.64,,,1920x1080,,200.0,24.6,16.0,35.4,1.85,,,,,1000.0,,,,,,20.0,10.0,,,1,23.0,,98.0,462.0,,,,,1212.0,,,
61.0,Portátil gaming,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,60.0,,,con tapa,,2024.0,IEEE 802.11ax,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,729.0,1896.12,1312.56,15.6,39.624,300.0,,1920x1080,5.3,170.0,25.9,24.0,36.0,2.38,,,,,,,,,,,,,,,1,,,,673.0,,,,,,,,
20.0,Portátil gaming,,,,integrado,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,88.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,MicroSD,,16:10,,,,,,,,,,,,,OLED,,,,,,,,,,,,,,,,,Laptop,1326.64,2689.47,2008.05,16.0,40.64,600.0,,1920x1080,,240.0,25.5,22.0,35.4,2.1,,,,,,4.0,,,,,,,,,1,,,14.0,405.0,,,,,,,,
22.0,Portátil gaming,,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,,73.0,,,con tapa,,2024.0,IEEE 802.11ax,,,,MicroSD,,16:10,,,,4.0,,,,,"0,2 ms",,,,,,,,,,,,,,,,,,,,,Laptop,1799.0,3794.53,2796.77,14.0,35.56,500.0,,1920x1080,,180.0,22.0,16.0,31.1,1.5,,,,,1000.0,,,,,,19.0,9.23,,,1,,,98.0,462.0,,,,,,,,
61.0,Portátil gaming,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,60.0,,,con tapa,,2023.0,IEEE 802.11ax,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,729.0,1854.93,1291.97,15.6,39.624,350.0,,1920x1080,5.3,170.0,26.5,25.0,36.0,2.4,,,,,,,,,,,,,,,1,,,,673.0,,,,,,,,
19.0,Portátil gaming,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,88.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,teclado iluminado,,plateado,,GDDR6,64.0,,,,,,,,,,,,,,,,,,,,,,Laptop,1326.64,1542.41,1434.53,16.0,40.64,600.0,,1920x1080,,240.0,25.5,22.0,35.4,2.1,60.0,24.0,16.0,4800.0,1000.0,4.0,1.8,4.9,45.0,64.0,,,,,1,78.0,358.0,14.0,405.0,274.0,,103.0,807.0,1212.0,753.0,49.0,49.0
46.0,Portátil gaming,WQXGA,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,99.0,,,con tapa,,2024.0,IEEE 802.11be,Intel,1.0,,MicroSD,,16:10,L3,,,,,,GDDR6,64.0,,,,,,Gigabit-LAN,,Nexus AI,,,,,,,,,,,,,,Laptop,1368.99,2592.68,1980.84,16.0,40.64,,,1920x1080,,240.0,25.4,27.0,35.6,2.3,,,,,,4.0,,,55.0,,,,,,1,,,29.0,673.0,,,,,,,,
2.0,Portátil gaming,Full HD,,,,"LAN, Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,2.0,ión-litio,48.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,3.0,negro,sí,GDDR6,,,ninguna,ninguno,teclado numérico,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,669.0,698.0,683.5,15.6,39.624,,4096x2304,,,,25.6,23.0,35.9,2.3,144.0,16.0,16.0,5600.0,512.0,4.0,3.1,4.5,54.0,32.0,,,,,1,18.0,164.0,60.0,2.0,54.0,2.0,115.0,206.0,265.0,561.0,1604.0,1604.0
