ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
200.0,Portátil multimedia,Retina,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79.0,"teclas de función, teclas de dirección",4.0,polímero de litio,52.6,no,aluminio,con tapa,sensor de luminosidad,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1026.53,2287.17,1656.85,13.6,34.544,500.0,6016x3384,1920x1080,15.0,30.0,21.5,11.0,30.4,1.24,,,,,,,,,,,,,,,,,1,96.0,,142.0,124.0,,253.0,,,,,,
230.0,Portátil multimedia,Retina,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79.0,"teclas de función, teclas de dirección",6.0,polímero de litio,66.5,no,aluminio,con tapa,sensor de luminosidad,2024.0,IEEE 802.11ax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1270.42,2672.25,1971.34,15.3,38.862,500.0,6016x3384,1920x1080,15.0,35.0,23.8,12.0,34.0,1.51,,,,,,,,,,,,,,,,,1,96.0,,142.0,124.0,,253.0,,,,,,
136.0,Portátil multimedia,Retina,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,12.0 Megapixel,compatible con HD,1920 x 1080 píxeles,,79.0,,6.0,polímero de litio,70.0,no,aluminio,con tapa,sensor de luminosidad,2024.0,IEEE 802.11ax,Apple,1.0,Apple,SDXC,altavoces estéreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1731.44,4932.25,3331.85,14.2,36.068,1.0,8192x4608,1920x1080,13.0,67.0,22.1,16.0,31.3,1.6,254.0,120.0,,,,,,,,,,,,,,,1,,,112.0,67.0,,253.0,3731.0,164.0,139.0,,48.0,48.0
18.0,Portátil multimedia,3K,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,75.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,teclado iluminado,4.0,azul,,,64.0,"0,2 ms",ninguna,ninguno,Touchpad iluminado,,,,,,,,,,,,,,,,,,,,,,,Laptop,968.76,1146.69,1057.72,14.0,35.56,400.0,,1920x1080,,65.0,22.0,15.0,31.2,1.2,,120.0,24.0,16.0,,512.0,,3.8,4.8,28.0,16.0,20.0,3.25,,,,1,192.0,270.0,81.0,462.0,462.0,253.0,3731.0,297.0,1212.0,366.0,168.0,168.0
26.0,Portátil multimedia,3K,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,Harman Kardon,16:10,L3,LPDDR5X,,4.0,gris,,,64.0,"0,2 ms",,ninguno,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1849.2,2520.81,2185.01,14.0,35.56,400.0,,1920x1080,,65.0,21.8,20.0,31.4,1.65,,120.0,24.0,32.0,,1000.0,,3.8,5.1,28.0,,19.0,3.42,,,,1,59.0,270.0,81.0,673.0,462.0,,3731.0,64.0,1212.0,366.0,168.0,168.0
34.0,Portátil multimedia,,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,,,,,16:10,L3,,,4.0,negro,,,,"0,2 ms",,,,OLED,,,,,,,,,,,,,,,,,,,,,,Laptop,792.12,1162.83,977.47,14.0,35.56,400.0,,1920x1080,,65.0,22.0,15.0,31.2,1.2,,,24.0,,,,,3.3,5.1,28.0,,19.0,3.42,,,,1,9.0,,81.0,462.0,49.0,253.0,,206.0,,561.0,,
117.0,Portátil multimedia,,,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79.0,"teclas de función, teclas de dirección",4.0,polímero de litio,52.6,no,aluminio,con tapa,sensor de luminosidad,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,931.68,1676.99,1304.34,13.6,34.544,500.0,6016x3384,1920x1080,15.0,30.0,21.5,11.0,30.4,1.24,,,,,,,,,,,,,,,,,1,,,142.0,124.0,,253.0,,,,,,
451.0,Portátil multimedia,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,38.0,,,con tapa,,2023.0,,,,,,,16:9,,,,2.0,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,329.99,1268.99,799.49,15.6,39.624,250.0,,,8.4,65.0,23.6,20.0,35.9,1.65,,,,,,,,,,,,20.0,3.25,,,,1,,,,71.0,,,,,,,,
66.0,Portátil multimedia,Full HD,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,,MicroSD,Dolby Atmos,16:9,L3,,,,,,,64.0,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,599.0,1377.0,988.0,15.6,39.624,300.0,,1280x720,15.0,45.0,22.9,15.0,35.7,1.55,,,,,,,4.0,,,15.0,,,,,,,1,,,93.0,405.0,,,3731.0,,,,,
96.0,Portátil multimedia,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,38.0,,,con tapa,,2021.0,,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,237.36,958.5,597.93,15.6,39.62,250.0,,1280x720,5.5,,23.6,20.0,35.9,1.7,,,,,,,3.0,,,,,,,,,,1,,,,673.0,,,,,,,,
