ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_articulo_incluido,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
166.0,Portátil profesional,,,HDMI,,"Bluetooth, wifi",,integrada,,720 x 480 píxeles,,teclado numérico,,ión-litio,50.0,,,con tapa,,2023.0,,,,,,SonicMaster,16:9,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Laptop,320.16,1022.4,671.28,15.6,39.624,250.0,,720x480,,65.0,23.25,18.0,36.03,1.63,,,,,,,,,,,,19.0,3.42,,,,1,,,198.0,673.0,,,,,,,,
19.0,Portátil profesional,Full HD,SSD,HDMI,,"wifi, Bluetooth",,integrada,,720 x 480 píxeles,,teclado numérico,,ión-litio,50.0,,,con tapa,,2023.0,,AMD,1.0,AMD,,SonicMaster,16:9,L3,LPDDR5,,3.0,plateado,,,,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,Laptop,396.52,539.17,467.84,15.6,39.624,250.0,,720x480,,65.0,23.25,18.0,36.03,1.63,,60.0,4.0,16.0,,512.0,,2.8,4.3,15.0,,19.0,3.42,,,,1,47.0,38.0,198.0,673.0,61.0,,3731.0,200.0,272.0,355.0,1604.0,1604.0
23.0,Portátil profesional,Full HD,,HDMI 2.1,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,,,,,2.0,polímero de litio,53.8,,,con tapa,,2023.0,IEEE 802.11ax,AMD,1.0,,MicroSD,altavoces estéreo,16:9,L3,DDR4,,3.0,,,,,,,panorámica,,,,,,,,,,,,,,,,,Laptop,499.95,909.4,704.67,15.6,39.624,,4096x2304,,,65.0,24.1,20.0,35.9,1.7,,,16.0,,,512.0,4.0,2.0,4.5,15.0,,,,,,,1,,,37.0,54.0,77.0,,3731.0,,,,1604.0,1604.0
77.0,Portátil profesional,,,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,54.0,,aluminio,con tapa,,2024.0,IEEE 802.11be,,,,,,3:2,,,,,,,,,,,táctil,,,,,,,,,,,Qualcomm Hexagon,,,,,,Laptop,1008.8,2156.99,1582.89,13.8,35.052,600.0,,1920x1080,13.0,39.0,22.0,18.0,30.1,1.34,,,,,,,,,,,,,,,,,1,,,158.0,673.0,,,,,,,,
64.0,Portátil profesional,,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,compatible con HD,1280 x 720 píxeles,,,2.0,polímero de litio,57.0,,,con tapa,,2024.0,IEEE 802.11ax,,,,MicroSD,altavoces estéreo,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,784.76,2447.05,1615.91,14.0,35.56,400.0,,1280x720,,65.0,22.6,19.0,31.4,1.36,,,,,,,,,,,,,,,,,1,,,222.0,462.0,,,,,,,,
55.0,Portátil profesional,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,,,,,,16:10,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,890.56,1576.4,1233.48,14.0,35.56,300.0,,1920x1080,,65.0,21.9,18.0,31.3,1.44,,,,,,,,,,,,,,,,,1,,,222.0,673.0,,,,,,,,
29.0,Portátil profesional,Full HD,PCIe SSD,HDMI,,"wifi, Bluetooth",,integrada,,720 x 480 píxeles,,teclado numérico,,ión-litio,50.0,,,con tapa,,2023.0,,AMD,1.0,AMD,,SonicMaster,16:9,L3,LPDDR5,,3.0,plateado,,64.0,ninguna,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,Laptop,466.44,676.58,571.51,15.6,39.624,250.0,,720x480,,65.0,23.25,18.0,36.03,1.63,,60.0,4.0,16.0,,512.0,,2.8,4.3,15.0,16.0,19.0,3.42,,,,1,47.0,391.0,198.0,673.0,61.0,,3731.0,200.0,1212.0,355.0,1604.0,1604.0
87.0,Portátil profesional,,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,45.0,,aluminio,con tapa,sensor de huellas dactilares,2024.0,IEEE 802.11ax,,,,SD,altavoces estéreo,16:10,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,Realtek ALC3287,,,,,Laptop,720.36,1394.36,1057.36,16.0,40.64,300.0,,1920x1080,16.0,,25.3,17.0,35.6,1.7,,,,,,,4.0,,,,,,,,,,1,,,71.0,462.0,,10.0,,,,,,
12.0,Portátil profesional,WUXGA,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,DDR5,teclado iluminado,,negro,,64.0,ninguna,ninguno,,,Gigabit-LAN,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,1145.51,1576.4,1360.95,14.0,35.56,300.0,,1920x1080,,65.0,21.9,18.0,31.3,1.44,,,24.0,32.0,5600.0,1000.0,,3.8,4.8,28.0,64.0,,,,,,1,192.0,270.0,222.0,488.0,462.0,,3731.0,297.0,1043.0,366.0,537.0,537.0
33.0,Portátil profesional,,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,,1280 x 720 píxeles,,,,polímero de litio,52.0,,,con tapa,,2019.0,,,,,MicroSD,altavoces estéreo,16:9,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Laptop,479.0,2082.75,1280.88,15.6,39.62,,,1280x720,,,23.4,16.0,35.7,1.6,,,,,,,,,,,,,,,,,1,,,37.0,405.0,,,,,,,,
