titulo,ofertas,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,medidas_y_peso_profundidad,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,comunicaciones_estandar_wifi,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_memoria,sistema_operativo_sistema_operativo,procesador_nombre_clave,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,sistema_operativo_arquitectura_bit,ram_extension_de_memoria_maxima,grafica_tarjeta,almacenamiento_lector_optico,comunicaciones_estandar_lan,otras_caracteristicas_certificado,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,medidas_y_peso_alto,propiedades_de_la_carcasa_alimentacion,adecuado_para,procesador_frecuencia_del_reloj,procesador_zocalo_de_cpu,procesador_numero_de_hilos_de_ejecucion,procesador_tdp,ram_numero_ranuras_memoria,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts
"HP Elite t655 Thin Client
5H0W2EA",2.0,Thin Client,,AMD Ryzen Embedded R2314,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,20 cm,"3,5 cm","1,12 kg",,,AMD,AMD Ryzen Embedded R,1.0,memoria compartida,,Picasso,2 MB,8 GB,DDR4,3.200 MHz,64 GB,4 núcleos,2.100 MHz,"3,5 GHz",,,AMD Radeon Graphics,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,20 cm,45 W,empresas,"2,1 GHz",,4.0,15 W,2.0,757.93,949.73,853.83,20.0,3.5,1.12,2.0,8.0,3200.0,64.0,2.1,3.5,,20.0,2.1,15.0
"HP Elite t655 Thin Client
5H0W7EA",2.0,Thin Client,,AMD Ryzen Embedded R2314,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,20 cm,"3,5 cm","1,12 kg",,,AMD,AMD Ryzen Embedded R,1.0,memoria compartida,IGEL OS,Picasso,2 MB,4 GB,DDR4,3.200 MHz,32 GB,4 núcleos,2.100 MHz,"3,5 GHz",,,AMD Radeon Graphics,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,20 cm,45 W,empresas,"2,1 GHz",,4.0,15 W,2.0,686.24,693.27,689.75,20.0,3.5,1.12,2.0,4.0,3200.0,32.0,2.1,3.5,,20.0,2.1,15.0
"HP Thin Client Pro t550
5H0W9EA",2.0,Thin Client,HP Pro,,memoria flash,DisplayPort,"Ethernet, Bluetooth, wifi",,20 cm,"3,5 cm",,,IEEE 802.11ax,Intel,Intel Celeron,1.0,,,,,8 GB,DDR4,3.200 MHz,64 GB,4 núcleos,,"2,6 GHz",,,Intel UHD Graphics,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,20 cm,45 W / corriente alterna 120/230 V,,2 GHz,,4.0,10 W,,763.21,834.39,798.8,20.0,3.5,,,8.0,3200.0,64.0,,2.6,,20.0,2.0,10.0
HP Thin Client Pro t550,5.0,Thin Client,HP Pro,,disco duro SSD,DisplayPort,Ethernet,,20 cm,"3,5 cm","1,3 kg",disco duro SSD,,,,1.0,memoria compartida,,,,16 GB,DDR4,,256 GB,,,,64.0,,Intel UHD Graphics,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,20 cm,550 W / corriente alterna 120/230 V,,,,,,,607.03,1092.67,849.85,20.0,3.5,1.3,,16.0,,256.0,,,,20.0,,
"HP Elite t655 Thin Client
5H0J2EA",1.0,Thin Client,,AMD Ryzen Embedded R2314,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,20 cm,"3,5 cm","1,12 kg",,,AMD,AMD Ryzen Embedded R,1.0,memoria compartida,,Picasso,2 MB,8 GB,DDR4,3.200 MHz,64 GB,4 núcleos,2.100 MHz,"3,5 GHz",,32 GB,AMD Radeon Graphics,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,20 cm,45 W,empresas,"2,1 GHz",,4.0,15 W,2.0,922.26,922.26,922.26,20.0,3.5,1.12,2.0,8.0,3200.0,64.0,2.1,3.5,32.0,20.0,2.1,15.0
"HP t740 Thin Client
6TV58EA",1.0,Thin Client,HP Thin Client,AMD Ryzen Embedded V1756B,memoria flash,,Ethernet,,21 cm,5 cm,,,,AMD,,1.0,,,,,8 GB,,,32 GB,,,,64.0,,AMD Radeon RX Vega 8,,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),,21 cm,corriente alterna 120/230 V,empresas,,,,,,2821.45,2821.45,2821.45,21.0,5.0,,,8.0,,32.0,,,,21.0,,
"HP t430 Thin Client
3VL71AA",1.0,Thin Client,HP Thin Client,Intel Celeron N4000,memoria flash,,Ethernet,,"13,5 cm","13,5 cm","0,4 kg",,,Intel,,,memoria compartida,Microsoft Windows 10,Gemini Lake,4 MB,4 GB,DDR4,2.400 MHz,32 GB,2 núcleos,1.100 MHz,"2,6 GHz",64.0,,Intel UHD Graphics 600,,,,Desktop,factor de forma ultrapequeño (USFF),negro,"3,2 cm",45 W / corriente alterna 120/230 V,empresas,,Socket BGA1090,2.0,6 W,,650.74,650.74,650.74,13.5,13.5,0.4,4.0,4.0,2400.0,32.0,1.1,2.6,,3.0,,6.0
"HP t430 Thin Client
277V2AA",1.0,Thin Client,HP Thin Client,Intel Celeron N4020,memoria flash,,Ethernet,,"13,5 cm","13,5 cm",,,,,,,,,,,4 GB,,,32 GB,,,,,,,,,,Desktop,factor de forma ultrapequeño (USFF),negro,"3,2 cm",corriente alterna 120/230 V,empresas,,,,,,430.6,430.6,430.6,13.5,13.5,,,4.0,,32.0,,,,3.0,,
"HP t740 Thin Client
6TV74EA",1.0,Thin Client,HP Thin Client,AMD Ryzen Embedded V1756B,disco duro SSD,,Ethernet,,21 cm,5 cm,,,,AMD,,1.0,,,,,8 GB,,,128 GB,,,,64.0,,AMD Radeon RX Vega 8,,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),,21 cm,corriente alterna 120/230 V,empresas,,,,,,3024.99,3024.99,3024.99,21.0,5.0,,,8.0,,128.0,,,,21.0,,
"HP Elite t655 Thin Client
5H0K8EA",1.0,Thin Client,,AMD Ryzen Embedded R2314,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,20 cm,"3,5 cm","1,12 kg",,,AMD,AMD Ryzen Embedded R,1.0,memoria compartida,IGEL OS,Picasso,2 MB,4 GB,DDR4,3.200 MHz,32 GB,4 núcleos,2.100 MHz,"3,5 GHz",,32 GB,AMD Radeon Graphics,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,20 cm,45 W,empresas,"2,1 GHz",,4.0,15 W,2.0,674.0,674.0,674.0,20.0,3.5,1.12,2.0,4.0,3200.0,32.0,2.1,3.5,32.0,20.0,2.1,15.0
