ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,otras_caracteristicas_software_incluido,grafica_gpu,ia_procesador,sonido_chip,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
30.0,Ultrabook,,,,wifi,Bluetooth 5.4,2.0 Mpx,,1920 x 1080 píxeles,,,,,ión-litio,72.0,,aluminio,,,,,,,,,16:10,,,,4.0,,64.0,"0,2 ms",,,,OLED,,,,,,,,,,Laptop,1477.99,3040.47,2259.23,14.0,35.56,400.0,1920x1080,,,,,,,,120.0,,,,1000.0,,,,,,1,,,81.0,,,,,,,,,
16.0,Ultrabook,,,,"wifi, Bluetooth",Bluetooth 5.4,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,72.0,,aluminio,,,,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,teclado iluminado,4.0,gris,64.0,"0,2 ms",ninguna,ninguno,,,,,Microsoft Copilot,,,,,Intel AI Boost,,Laptop,1477.99,1931.08,1704.53,14.0,35.56,400.0,1920x1080,,,,,,,,120.0,12.0,32.0,,1000.0,,2.2,4.8,17.0,32.0,1,10.0,270.0,81.0,145.0,15.0,,3731.0,297.0,1212.0,561.0,168.0,168.0
10.0,Ultrabook,3K,,,wifi,Bluetooth 5.4,2.0 Mpx,,1920 x 1080 píxeles,,,,,ión-litio,72.0,,aluminio,,,,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,teclado iluminado,4.0,gris,64.0,"0,2 ms",ninguna,ninguno,,,,,Microsoft Copilot,,,,,Intel AI Boost,,Laptop,1599.0,2020.62,1809.81,14.0,35.56,400.0,1920x1080,,,,,,,,120.0,12.0,32.0,,1000.0,,2.2,4.8,17.0,32.0,1,10.0,270.0,81.0,,15.0,,3731.0,297.0,1212.0,561.0,168.0,168.0
,Ultrabook,Full HD,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,teclado tipo chicle,,"teclas de función, teclas Windows",2.0,ión-litio,53.0,no,,con tapa,2020.0,IEEE 802.11ax,,,,,,16:9,,,,3.0,,,,,,,panorámica,,Energy Star,,,,"HP Client Security, HP Credential Manager, HP Drive Encryption, HP File Sanitizer, HP Password Manager, HP Secure Erase, HP Spare Key, HP Trust Circles, Microsoft Defender, Microsoft Security Essentials",,,,Laptop,,,,15.6,39.62,,1280x720,23.0,,23.4,19.0,36.0,1.71,,,,,,,,,,,,1,,,135.0,673.0,,1.0,,,,,1604.0,1604.0
2.0,Ultrabook,,,integrado,"wifi, Bluetooth, LAN",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,50.0,,,con tapa,2019.0,IEEE 802.11ac,,,,MicroSD,Dolby Audio Premium,16:9,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,Laptop,389.0,2399.0,1394.0,14.0,35.56,400.0,1280x720,16.0,45.0,22.7,19.0,32.9,1.5,,,,,,,,,,,,1,,,222.0,1.0,,,,,,,,
1.0,Ultrabook,Full HD,SSD,integrado,"LAN, wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,50.0,,,con tapa,2019.0,IEEE 802.11ac,,1.0,Intel,MicroSD,Dolby Audio Premium,16:9,,DDR4,,,negro,64.0,,,,,,Gigabit-LAN,,,,,,,,,Laptop,389.0,389.0,389.0,14.0,35.56,400.0,1280x720,16.0,45.0,22.7,19.0,32.9,1.5,,,,24.0,,500.0,,,,,,1,4.0,715.0,222.0,1.0,,,3731.0,,185.0,,1604.0,1604.0
,Ultrabook,Full HD,SSD,4 en 1,"LAN, wifi, Bluetooth",Bluetooth 4.1,integrada,compatible con HD,1280 x 720 píxeles,teclado AccuType,84.0,"teclas Windows, teclas multimedia",2.0,polímero de litio,,,,con tapa,2017.0,IEEE 802.11ac,Intel,1.0,Intel,,,16:9,L3,DDR4,,6.0,,64.0,,,,,panorámica,Gigabit-LAN,,,1x SO-DIMM,,"Adobe Acrobat Reader, Symantec Norton Internet Security, Skype, Intel AppUp Center, Lenovo Solution Center, Lenovo ThinkVantage System Update, Lenovo ThinkVantage Rescue and Recovery, Lenovo ThinkVantage Product Recovery, Evernote, Lenovo Cloud Storage",,,Realtek ALC3232,Laptop,,,,14.0,35.56,250.0,1280x720,10.0,45.0,22.6,19.0,33.1,1.45,,,3.0,16.0,2133.0,240.0,,2.4,3.0,15.0,,1,3.0,4.0,222.0,1.0,15.0,1.0,3731.0,684.0,185.0,108.0,1604.0,1604.0
1.0,Ultrabook,3K,PCIe SSD,,wifi,Bluetooth 5.4,2.0 Mpx,,1920 x 1080 píxeles,,,,,ión-litio,72.0,,aluminio,,,,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,teclado iluminado,4.0,plateado,64.0,"0,2 ms",,,,OLED,,,Microsoft Copilot,0x SO-DIMM,0x SO-DIMM,,8-Core GPU,Intel AI Boost,,Laptop,3040.47,3040.47,3040.47,14.0,35.56,400.0,1920x1080,,,,,,,243.0,120.0,12.0,32.0,,1000.0,,2.2,4.8,17.0,,1,10.0,8.0,81.0,,15.0,,3731.0,297.0,1212.0,561.0,168.0,168.0
12.0,Ultrabook,Full HD,PCIe SSD,,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,,,,,2.0,polímero de litio,60.0,,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,LPDDR5,,4.0,azul,64.0,,ninguna,ninguno,teclado numérico,,,Certificación MIL-STD 810H,,,,,,,,Laptop,1258.56,1474.99,1366.78,15.6,39.624,400.0,,13.0,,22.7,11.0,35.6,0.9,,,18.0,32.0,6000.0,512.0,4.0,2.2,5.0,28.0,,1,63.0,916.0,76.0,58.0,866.0,3.0,3731.0,807.0,1212.0,330.0,1604.0,1604.0
13.0,Ultrabook,,,,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,,,,,2.0,polímero de litio,60.0,,,con tapa,2023.0,IEEE 802.11ax,Intel,,Intel,,altavoces estéreo,16:9,L3,,,4.0,,,,,,,OLED,,Certificación MIL-STD 810H,,,,,,,,Laptop,1258.56,1675.04,1466.8,15.6,39.624,400.0,,13.0,,22.7,11.0,35.6,0.9,,,,,,,4.0,,,,,1,,,76.0,58.0,,3.0,3731.0,,1212.0,,,
