ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
2.0,Workstation,disco duro SSD,DisplayPort,wifi,,,Intel,,,GDDR5,,ninguno,,,,,Desktop,,,negro,,empresas,,,,,,,,,,,,,799.0,819.0,809.0,,,,,32.0,,500.0,,,,,,,,1,7.0,,,111.0,,,679.0,833.0,,,,,
143.0,Workstation,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,,Desktop,,torre,,,empresas,,,,,,,,,,,,,1059.18,5779.76,3419.47,38.5,16.9,,,,,,,,,,35.0,,,1,,,94.0,,,931.0,,,64.0,,,,
56.0,Workstation,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,,,"empresas, gaming, principiante, profesional",,,,,,,,,,,,,1126.47,11013.82,6070.14,30.8,15.5,,,,,,,,,,33.0,,,1,,,,,,,,,,,,,
2.0,Workstation,disco duro SSD,,Ethernet,,,,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"empresas, gaming, principiante, profesional",,4.0,,,,,,,,,,,1193.98,1698.0,1445.99,30.8,15.5,5.7,,32.0,4800.0,1000.0,,,128.0,,33.0,,,1,15.0,487.0,,2259.0,,57.0,679.0,356.0,,1182.0,,,
13.0,Workstation,disco duro SSD,,,,,,,DDR5,,,,,,,,Desktop,,torre,,,,28.0,,,,,,,,,,,,1405.15,2112.9,1759.03,,,,33.0,32.0,4400.0,1000.0,2.1,5.4,,,,2.1,65.0,1,69.0,487.0,135.0,,866.0,,,833.0,,1182.0,160.0,,749.0
36.0,Workstation,,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,,,1.0,,,,,,,,,,668.57,2300.96,1484.77,30.8,15.5,,,,,,,,,,33.0,,,1,,,112.0,,,931.0,,,92.0,,,,
48.0,Workstation,,,Ethernet,,,Intel,,,,,,,,,,Desktop,,,negro,,empresas,,,,,,,,,,,,,1190.0,4240.48,2715.24,21.8,21.1,,,,,,,,,,6.0,,,1,,,94.0,,,931.0,,,,,,,
10.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,28.0,4.0,,,,,,,,,,,1415.07,2003.99,1709.53,38.5,16.9,7.2,33.0,32.0,4800.0,1000.0,2.1,5.4,128.0,,35.0,2.1,65.0,1,69.0,374.0,94.0,2259.0,207.0,36.0,3731.0,833.0,64.0,1182.0,160.0,,749.0
9.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,32.0,4.0,,,,,,,,,,,2309.71,4158.92,3234.32,38.5,16.9,7.2,36.0,32.0,4800.0,1000.0,,6.0,,,35.0,3.2,125.0,1,25.0,31.0,94.0,2259.0,866.0,36.0,193.0,356.0,64.0,1182.0,194.0,,
12.0,Workstation,disco duro SSD,USB-C,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,,12.0,8.0,,,,,,,,,,,2196.73,3582.03,2889.38,44.4,16.8,10.5,15.0,32.0,4800.0,1000.0,,4.2,,,38.0,2.1,,1,6.0,63.0,21.0,,2.0,1.0,412.0,15.0,17.0,1182.0,813.0,18.0,3.0
