titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Apple Mac mini M4 [2024],Mini PC,Apple Mac Mini,Unknown,disco duro SSD,Intel,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,659.0,2351.58,1505.29,12.7,12.7,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MU9D3YP/A",Mini PC,Apple Mac Mini,Apple M4,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,10.0,Apple M4 10-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,659.0,725.44,692.22,12.7,12.7,18.0,16.0,3200.0,256.0,4.7,5.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Ankermann Business Work V2 PC (4260561746335) Ankermann,PC multimedia,Ankermann Business Work,AMD Ryzen 5 5600G,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,6.0,AMD Radeon RX Vega 7,Ethernet 10/100/1000,Desktop,semitorre,empresas,Socket AM4,453.0,509.0,481.0,29.4,16.8,16.0,16.0,3200.0,500.0,4.4,29.0,3.9,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Zone Evil ZE-160937
ZE-160937-H",PC gaming,Zone Evil,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Raptor Lake,DDR4,10.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,866.25,976.09,921.17,27.3,48.1,20.0,32.0,3200.0,1000.0,4.6,49.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Adonia Gaming R7 5800X RTX 4060,PC gaming,Adonia Gaming,AMD Ryzen 7 5800X,disco duro SSD,AMD,Ryzen 7,1.0,ninguno,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,823.99,868.67,846.33,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Gaming V3 i7-12700F / RTX 4060 Ti / 32GB / 1TB / Windows 11 / W-LAN / WiFi & BT,PC gaming,Ankermann Gaming,Intel Core i7-12700F,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,12.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1145.0,1241.0,1193.0,29.4,16.8,25.0,32.0,3200.0,1000.0,4.9,29.0,2.1,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Nitropc Set Nitro,PC gaming,Nitropc Set Nitro,Intel Core i9-14900K,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR5,24.0,NVIDIA GeForce RTX 4070 Ti Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2999.98,3099.99,3049.98,29.4,16.8,36.0,32.0,5200.0,2000.0,6.0,29.0,3.2,125.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Nitropc Set Nitro Plus,PC gaming,Nitropc Set Nitro,Intel Core i9-12900KF,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,16.0,NVIDIA GeForce RTX 4070 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2199.98,2299.99,2249.98,29.4,16.8,30.0,32.0,3200.0,2000.0,5.2,29.0,3.2,125.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MCX44YP/A",Mini PC,Apple Mac Mini,Apple M4 Pro,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,12.0,Apple M4 Pro 16-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,1548.82,1623.99,1586.4,12.7,12.7,18.0,24.0,3200.0,512.0,4.7,5.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Zone Evil ZE-160937,PC gaming,Zone Evil,Intel Core i5-13400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Raptor Lake,DDR4,10.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,817.74,1879.29,1348.51,27.3,48.1,20.0,16.0,3200.0,1000.0,4.6,49.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
