titulo,tipo_de_producto,serie,pantalla_tecnologia,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_version_bluetooth,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,ram_tipo,alimentacion_numero_de_celdas,medidas_y_peso_color,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_transmision_de_datos,comunicaciones_estandar_lan,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,camara_resolucion_pixeles,webcam_mpx,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pixeles,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,volumen_cm3,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
"Acer Nitro 17 (AN17-42)
AN17-42-R7MA",Portátil gaming,Acer Nitro,Full HD,AMD Ryzen 9 8945HS,SSD,HDMI,integrado,5.3,2.0,ión-litio,90.0,con tapa,2024.0,IEEE 802.11ax,AMD,AMD Ryzen 9,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Hawk Point-HS,L3,DDR4,4.0,negro,8.0,NVIDIA GeForce RTX 4060,ninguna,Gigabit-LAN,Laptop,2363.21,2363.21,2363.21,17.3,43.942,1280x720,0.9,8.0,230.0,29.3,29.0,40.0,3.1,2560x1440,24.0,32.0,4800.0,1000.0,5.2,45.0,3398.7999999999997,Laptop,1,0,1
"LG Gram 17 (2023)
17Z90R-E.AD7CG",Portátil multimedia,LG Gram,WQXGA,Intel Core i7-1360P,SSD,HDMI,integrado,5.1,2.0,ión-litio,80.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-P,L3,DDR4,3.0,gris,12.0,NVIDIA GeForce RTX 3050,ninguna,Gigabit-LAN,Laptop,2448.99,2448.99,2448.99,17.3,43.942,1920x1080,0.9,20.0,65.0,25.9,18.0,37.9,1.4,2560x1600,18.0,32.0,4800.0,2000.0,5.0,28.0,1766.898,Laptop,1,0,1
"HP 470 G10
9X2K3ES",Portátil multimedia,HP ProBook,Full HD,Intel Core i7-1355U,SSD,HDMI,integrado,5.3,2.0,ión-litio,41.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,3.0,gris,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1389.62,1389.62,1389.62,17.3,43.942,1280x720,0.9,10.0,45.0,25.8,20.0,40.0,2.08,1920x1080,12.0,32.0,4800.0,1000.0,5.0,15.0,2064.0,Laptop,1,0,1
"MSI Stealth 14 AI Studio A1V
A1VGG-029XES",Unknown,MSI Stealth,2.8K,Intel Core Ultra 9 185H,SSD,HDMI 2.1,integrado,5.4,2.0,ión-litio,72.0,con tapa,2023.0,IEEE 802.11be,Intel,Intel Core Ultra 9,1.0,NVIDIA,Free DOS,MicroSD,altavoces estéreo,16:9,Meteor Lake,L3,DDR5,4.0,azul,16.0,NVIDIA GeForce RTX 4070,ninguna,Gigabit-LAN,Laptop,2185.6,2185.6,2185.6,14.0,35.56,1280x720,0.9,10.0,240.0,24.6,19.0,31.5,1.7,2880x1800,24.0,32.0,5600.0,1000.0,5.1,28.0,1604.5559999999998,Laptop,1,0,1
"LG Gram 17 (2023)
17Z90R-G.AA76G",Portátil multimedia,LG Gram,WQXGA,Intel Core i7-1360P,SSD,HDMI,integrado,5.1,2.0,ión-litio,80.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-P,L3,LPDDR5,3.0,gris,12.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1529.72,1529.72,1529.72,17.3,43.942,1920x1080,0.9,20.0,65.0,25.9,18.0,37.9,1.4,2560x1600,18.0,16.0,4800.0,512.0,5.0,28.0,1766.898,Laptop,1,0,1
"HP 250 G8
59S73EA",Portátil profesional,HP 250,Full HD,Intel Core i5-1135G7,PCIe SSD,HDMI,3 en 1,5.2,2.0,ión-litio,41.0,con tapa,2020.0,IEEE 802.11ac,Intel,Intel Core i5,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Tiger Lake UP3,L3,DDR4,3.0,gris,4.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,575.0,914.97,744.99,15.6,39.62,1280x720,0.9,12.0,45.0,24.2,19.0,35.8,1.7,1920x1080,8.0,8.0,4800.0,256.0,4.2,15.0,1646.0839999999998,Laptop,0,0,1
"ASUS ROG Zephyrus G14 GA403
GA403UV-QS022",Portátil gaming,ASUS Republic of Gamers,3K,AMD Ryzen 9 8945HS,SSD,HDMI 2.1,integrado,5.3,4.0,ión-litio,73.0,con tapa,2024.0,IEEE 802.11ax,AMD,AMD Ryzen 9,1.0,NVIDIA,sin sistema operativo,MicroSD,altavoces estéreo,16:10,Hawk Point-HS,L3,LPDDR5X,4.0,gris,8.0,NVIDIA GeForce RTX 4060,ninguna,Gigabit-LAN,Laptop,1799.0,1899.0,1849.0,14.0,35.56,1920x1080,0.9,10.0,180.0,22.0,16.0,31.1,1.5,2880x1800,24.0,32.0,6400.0,1000.0,5.2,45.0,1094.72,Laptop,1,0,1
HP Pavilion 15 (2023),Portátil multimedia,HP Pavilion,Full HD,Unknown,SSD,HDMI,integrado,5.2,2.0,ión-litio,41.0,con tapa,2023.0,IEEE 802.11ax,Intel,Unknown,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,590.49,1676.36,1133.42,15.6,39.62,1280x720,0.9,8.5,65.0,23.4,18.0,36.0,1.75,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,1516.32,Laptop,1,0,1
Lenovo ThinkPad P1 G6 (2023),Portátil profesional,Lenovo ThinkPad,Full HD,Unknown,SSD,HDMI,integrado,5.2,2.0,ión-litio,90.0,con tapa,2023.0,IEEE 802.11ax,Intel,Unknown,1.0,Intel,Windows 11 Home,SD,Dolby Atmos,16:10,Alder Lake-P,L3,DDR4,4.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,2303.68,4428.02,3365.85,16.0,40.64,1920x1080,0.9,10.0,170.0,25.4,18.0,36.0,1.81,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,1645.92,Laptop,1,0,1
"Lenovo V17 G4
83A20002FR",Portátil multimedia,Lenovo,Full HD,Intel Core i7-1355U,SSD,HDMI,4 en 1,5.1,2.0,polímero de litio,45.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,3.0,plateado,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1289.45,1331.14,1310.3,17.3,43.942,1280x720,0.9,8.4,65.0,27.4,20.0,39.9,2.02,1920x1080,12.0,16.0,3200.0,512.0,5.0,15.0,2186.52,Laptop,1,0,1
